,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MEM,NBA,PG,53,46,26.1,3.6,8.3,0.428,0.6,1.7,0.33,3.0,6.6,0.45299999999999996,0.462,1.7,2.3,0.732,0.4,2.2,2.6,4.2,0.8,0.0,1.7,1.6,9.4,16.500000000000004,3.0,19.500000000000004
1,21.0,MEM,NBA,PG,82,61,30.6,3.9,8.9,0.442,1.1,2.6,0.406,2.9,6.3,0.45799999999999996,0.503,2.0,2.4,0.8170000000000001,0.3,3.1,3.4,4.3,1.1,0.1,1.7,1.8,10.9,18.1,4.3,22.400000000000002
2,22.0,MEM,NBA,PG,80,80,32.1,4.6,10.4,0.445,1.0,2.7,0.387,3.6,7.7,0.46399999999999997,0.494,1.7,2.3,0.743,0.4,2.0,2.4,5.3,1.4,0.2,2.1,2.2,12.0,20.9,3.6,24.5
3,23.0,MEM,NBA,PG,81,81,35.5,5.2,11.8,0.444,1.0,2.7,0.369,4.2,9.1,0.466,0.486,2.2,3.0,0.733,0.4,2.7,3.0,6.5,1.8,0.2,2.2,2.2,13.7,24.900000000000002,4.7,29.6
4,24.0,MEM,NBA,PG,62,61,35.1,4.8,11.0,0.433,1.0,2.6,0.377,3.8,8.5,0.45,0.47700000000000004,2.2,2.5,0.861,0.4,2.2,2.5,6.5,2.2,0.2,2.0,2.1,12.7,24.1,4.6000000000000005,28.700000000000003
5,25.0,MEM,NBA,PG,80,80,34.5,5.2,11.8,0.44,1.3,3.7,0.36200000000000004,3.9,8.1,0.47600000000000003,0.49700000000000005,2.9,3.5,0.83,0.5,2.3,2.8,6.1,2.2,0.3,2.4,2.1,14.6,24.9,4.8,29.7
6,26.0,MEM,NBA,PG,73,73,33.5,6.3,14.1,0.45,1.4,4.0,0.361,4.9,10.1,0.484,0.5,3.1,3.8,0.815,0.6,2.4,2.9,6.0,1.5,0.2,2.1,1.9,17.2,27.699999999999996,4.1,31.799999999999997
7,27.0,MEM,NBA,PG,70,70,31.8,5.6,12.6,0.446,1.5,4.0,0.386,4.1,8.6,0.473,0.506,3.1,3.6,0.8590000000000001,0.4,2.6,3.0,5.4,1.3,0.2,2.2,2.0,15.8,24.8,4.1000000000000005,28.900000000000002
8,28.0,MEM,NBA,PG,56,56,31.4,5.3,12.4,0.42200000000000004,1.4,3.8,0.363,3.9,8.6,0.449,0.478,3.4,4.1,0.8340000000000001,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3,26.5,4.0,30.5
9,29.0,MEM,NBA,PG,69,68,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.49700000000000005,0.545,4.6,5.3,0.8590000000000001,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,31.2,4.6,35.8
10,,,NBA,,706,676,32.6,5.1,11.6,0.44299999999999995,1.3,3.4,0.379,3.9,8.2,0.469,0.498,2.7,3.3,0.815,0.4,2.5,2.9,5.7,1.5,0.2,2.0,2.0,14.2,24.0,4.2,28.2
