,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,NYK,NBA,PG,56.0,12.0,19.4,3.2,7.0,0.45799999999999996,1.2,3.1,0.389,2.0,3.9,0.514,0.545,1.0,1.2,0.809,0.7,1.2,1.9,2.0,0.8,0.1,1.0,2.1,8.6,12.3,2.1,14.4
1,24.0,NYK,NBA,SG,81.0,9.0,24.3,3.9,9.3,0.41600000000000004,1.8,4.7,0.373,2.1,4.6,0.46,0.511,1.0,1.3,0.794,0.8,2.2,3.0,3.0,1.1,0.0,1.1,2.2,10.6,16.299999999999997,3.3000000000000003,19.599999999999998
2,25.0,NYK,NBA,PG,38.0,9.0,17.3,2.5,7.6,0.324,0.7,3.1,0.231,1.8,4.6,0.387,0.371,0.6,0.7,0.846,0.4,1.5,1.9,2.0,0.8,0.0,1.5,1.4,6.2,9.100000000000001,2.3,11.400000000000002
3,26.0,TOT,NBA,PG,71.0,0.0,18.2,2.6,6.6,0.40299999999999997,1.2,3.0,0.38,1.5,3.5,0.424,0.491,1.1,1.2,0.905,0.5,1.5,1.9,2.1,1.0,0.0,1.1,2.0,7.5,11.1,2.5,13.6
4,26.0,HOU,NBA,PG,49.0,0.0,18.6,2.8,7.2,0.395,1.2,3.3,0.377,1.6,3.9,0.41100000000000003,0.48200000000000004,1.2,1.4,0.882,0.5,1.4,1.8,1.9,0.8,0.0,1.1,2.1,8.1,11.299999999999999,2.2,13.5
5,26.0,SAC,NBA,PG,22.0,0.0,17.1,2.2,5.2,0.43,1.0,2.5,0.389,1.3,2.7,0.467,0.522,0.7,0.7,1.0,0.5,1.7,2.2,2.6,1.4,0.0,1.1,1.9,6.1,10.700000000000001,3.0999999999999996,13.8
6,27.0,TOT,NBA,PG,51.0,17.0,13.2,1.4,3.7,0.384,0.6,2.0,0.304,0.8,1.7,0.47700000000000004,0.466,0.5,0.7,0.735,0.4,1.4,1.7,1.3,0.4,0.1,0.7,1.6,4.0,6.3,1.9,8.2
7,27.0,GSW,NBA,PG,24.0,0.0,11.0,1.3,3.6,0.37200000000000005,0.8,2.5,0.322,0.5,1.1,0.48100000000000004,0.483,0.2,0.3,0.625,0.2,0.9,1.1,0.8,0.3,0.1,0.7,1.4,3.7,4.8,1.3,6.1
8,27.0,MIA,NBA,PG,27.0,17.0,15.2,1.5,3.9,0.39399999999999996,0.4,1.6,0.27899999999999997,1.1,2.3,0.475,0.452,0.7,1.0,0.769,0.5,1.7,2.3,1.8,0.5,0.1,0.7,1.7,4.2,7.6000000000000005,2.3000000000000003,9.9
9,28.0,NOP,NBA,SG,12.0,0.0,14.8,1.6,4.3,0.373,0.4,1.5,0.278,1.2,2.8,0.424,0.42200000000000004,0.7,1.1,0.615,0.2,1.7,1.8,2.0,0.9,0.3,0.8,1.7,4.3,7.7,2.9,10.6
