,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,BOS,NBA,SG,77.0,34.0,16.4,2.4,5.0,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2.0,0.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4,8.100000000000001,3.0999999999999996,11.200000000000001
1,24.0,BOS,NBA,PG,51.0,9.0,19.2,2.5,5.4,0.47100000000000003,0.2,0.7,0.324,2.3,4.7,0.49200000000000005,0.491,2.0,2.6,0.746,0.6,1.5,2.2,1.3,1.0,0.4,1.3,2.5,7.2,9.1,2.9,12.0
2,25.0,BOS,NBA,SG,33.0,18.0,24.4,4.0,7.8,0.514,0.2,1.0,0.242,3.8,6.8,0.5529999999999999,0.529,3.2,4.1,0.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,11.5,13.7,4.6000000000000005,18.3
3,26.0,BOS,NBA,SG,75.0,11.0,18.3,2.3,5.2,0.434,0.2,0.8,0.316,2.0,4.4,0.455,0.45799999999999996,1.8,2.4,0.762,0.5,1.8,2.2,1.5,0.8,0.3,1.5,2.2,6.6,8.6,2.9,11.5
4,27.0,BOS,NBA,SG,46.0,2.0,19.3,3.0,6.2,0.48200000000000004,0.1,0.6,0.222,2.8,5.6,0.51,0.493,1.7,2.4,0.725,0.5,1.8,2.3,1.4,1.2,0.5,1.7,2.1,7.8,9.4,3.5,12.9
5,28.0,BOS,NBA,SG,54.0,8.0,16.5,2.4,4.7,0.51,0.0,0.1,0.0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,8.5,3.1999999999999997,11.7
6,29.0,MEM,NBA,SG,72.0,31.0,20.8,3.5,6.8,0.51,0.1,0.3,0.174,3.4,6.5,0.527,0.514,1.9,2.5,0.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,11.5,4.1,15.6
7,30.0,MEM,NBA,SG,58.0,57.0,26.3,3.6,7.7,0.469,0.1,0.4,0.308,3.5,7.3,0.479,0.478,2.4,3.0,0.8,1.7,2.3,4.0,1.4,1.8,0.6,1.6,2.4,9.8,12.700000000000001,4.699999999999999,17.4
8,31.0,MEM,NBA,SG,79.0,79.0,26.7,3.6,8.1,0.445,0.0,0.3,0.125,3.6,7.8,0.45799999999999996,0.447,1.7,2.4,0.7170000000000001,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,11.600000000000001,5.199999999999999,16.8
9,32.0,MEM,NBA,SG,55.0,28.0,23.2,3.7,7.5,0.494,0.2,0.9,0.23399999999999999,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,12.200000000000001,4.2,16.400000000000002
10,33.0,MEM,NBA,SG,63.0,41.0,26.2,3.6,7.2,0.495,0.2,0.5,0.345,3.4,6.8,0.505,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,11.6,5.3,16.9
11,34.0,MEM,NBA,SG,64.0,57.0,25.3,3.4,7.3,0.45799999999999996,0.2,0.7,0.35700000000000004,3.1,6.7,0.46799999999999997,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,11.000000000000002,5.0,16.0
12,35.0,MEM,NBA,SG,71.0,66.0,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,12.799999999999999,5.200000000000001,18.0
13,,,NBA,,798.0,441.0,22.3,3.2,6.7,0.475,0.2,0.5,0.28,3.0,6.2,0.49200000000000005,0.486,1.7,2.4,0.711,1.3,2.3,3.6,1.3,1.4,0.4,1.4,2.4,8.2,10.7,4.1,14.799999999999999
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,MEM,NBA,,462.0,359.0,25.1,3.6,7.6,0.474,0.1,0.5,0.26899999999999996,3.5,7.1,0.489,0.483,1.6,2.3,0.695,1.6,2.6,4.3,1.4,1.7,0.5,1.4,2.5,8.9,11.9,4.8,16.7
16,,BOS,NBA,,336.0,82.0,18.4,2.6,5.5,0.47700000000000004,0.2,0.6,0.294,2.5,4.9,0.498,0.49200000000000005,1.8,2.5,0.731,0.8,1.8,2.6,1.3,1.0,0.3,1.4,2.2,7.2,9.200000000000001,3.0999999999999996,12.3
