,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,PF,31.0,4.0,5.9,0.8,2.2,0.36200000000000004,0.0,0.1,0.0,0.8,2.2,0.373,0.36200000000000004,0.6,0.9,0.7140000000000001,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3,2.4,1.0999999999999999,3.5
1,21.0,,NBA,C,6.0,0.0,5.0,0.8,1.7,0.5,0.0,0.0,,0.8,1.7,0.5,0.5,0.0,0.2,0.0,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7,1.5999999999999999,0.8999999999999999,2.5
2,22.0,,NBA,C,34.0,2.0,10.0,1.7,3.9,0.444,0.4,1.0,0.353,1.4,2.9,0.475,0.489,0.4,0.5,0.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,4.2,4.800000000000001,2.7,7.500000000000001
3,22.0,,NBA,C,10.0,2.0,7.5,1.2,3.2,0.375,0.3,0.7,0.429,0.9,2.5,0.36,0.42200000000000004,0.2,0.3,0.667,0.5,1.2,1.7,0.2,0.3,0.5,0.1,1.3,2.9,3.6999999999999997,2.0,5.699999999999999
4,22.0,,NBA,C,24.0,0.0,11.0,2.0,4.2,0.465,0.4,1.1,0.33299999999999996,1.6,3.1,0.514,0.51,0.5,0.6,0.733,0.5,2.0,2.5,0.3,0.3,0.6,0.7,2.5,4.8,5.2,2.9,8.1
5,,23.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,24.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25.0,,NBA,C,56.0,30.0,17.0,2.4,4.4,0.546,0.0,0.0,0.0,2.4,4.4,0.5479999999999999,0.546,1.0,1.2,0.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,7.9,4.5,12.4
8,26.0,,NBA,C,68.0,8.0,14.1,2.7,4.8,0.55,0.0,0.0,,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,8.4,4.2,12.600000000000001
9,27.0,,NBA,C,59.0,17.0,14.6,2.5,5.3,0.47600000000000003,0.0,0.0,0.0,2.5,5.3,0.478,0.47600000000000003,0.9,1.1,0.8390000000000001,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0,7.4,4.199999999999999,11.6
10,28.0,,NBA,C,39.0,15.0,15.0,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,0.511,0.5,0.7,1.0,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,6.3,4.5,10.8
11,,,NBA,,293.0,76.0,13.3,2.2,4.4,0.503,0.0,0.1,0.28600000000000003,2.2,4.2,0.51,0.507,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3,6.7,3.6,10.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,NBA,,222.0,70.0,15.1,2.5,4.8,0.519,0.0,0.0,0.0,2.5,4.8,0.522,0.519,1.0,1.2,0.813,1.4,3.2,4.7,0.6,0.4,0.7,1.0,2.5,6.0,7.6,4.3,11.899999999999999
14,,,NBA,,37.0,4.0,5.7,0.8,2.1,0.38,0.0,0.1,0.0,0.8,2.1,0.39,0.38,0.5,0.8,0.69,0.3,0.6,0.9,0.1,0.2,0.2,0.4,1.1,2.2,2.3000000000000003,1.0,3.3000000000000003
15,,,NBA,,24.0,0.0,11.0,2.0,4.2,0.465,0.4,1.1,0.33299999999999996,1.6,3.1,0.514,0.51,0.5,0.6,0.733,0.5,2.0,2.5,0.3,0.3,0.6,0.7,2.5,4.8,5.2,2.9,8.1
16,,,NBA,,10.0,2.0,7.5,1.2,3.2,0.375,0.3,0.7,0.429,0.9,2.5,0.36,0.42200000000000004,0.2,0.3,0.667,0.5,1.2,1.7,0.2,0.3,0.5,0.1,1.3,2.9,3.6999999999999997,2.0,5.699999999999999
