,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,POR,NBA,PF,63.0,2.0,11.2,1.7,3.4,0.495,0.0,0.0,0.0,1.7,3.4,0.5,0.495,0.5,0.8,0.6459999999999999,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9,5.0,2.4,7.4
1,23.0,TOT,NBA,PF,78.0,18.0,21.0,2.8,6.1,0.462,0.0,0.2,0.077,2.8,5.9,0.473,0.46299999999999997,0.6,0.8,0.726,1.2,2.3,3.6,0.6,0.7,0.6,0.7,2.3,6.2,7.8999999999999995,3.6,11.5
2,23.0,POR,NBA,PF,56.0,9.0,19.8,2.3,5.2,0.433,0.0,0.1,0.0,2.3,5.1,0.439,0.433,0.6,0.8,0.711,1.3,2.1,3.4,0.5,0.7,0.6,0.6,2.5,5.1,6.8,3.4,10.2
3,23.0,CHA,NBA,PF,22.0,9.0,24.0,4.2,8.2,0.508,0.0,0.4,0.111,4.1,7.8,0.529,0.511,0.6,0.8,0.765,1.0,3.0,4.0,0.6,0.7,0.5,0.8,1.7,9.0,10.399999999999999,4.2,14.599999999999998
4,24.0,MEM,NBA,PF,64.0,5.0,17.6,2.3,4.4,0.516,0.0,0.0,0.0,2.3,4.3,0.52,0.516,0.7,1.1,0.652,1.4,2.4,3.8,0.6,0.7,0.5,0.5,1.5,5.2,7.3,3.5999999999999996,10.899999999999999
5,25.0,MIN,NBA,PF,80.0,9.0,25.1,3.9,8.4,0.46799999999999997,0.0,0.1,0.0,3.9,8.3,0.47200000000000003,0.46799999999999997,0.8,1.3,0.65,1.8,3.3,5.1,0.8,1.1,0.5,0.7,1.9,8.7,11.4,4.9,16.3
6,26.0,MIN,NBA,PF,81.0,7.0,20.2,2.9,6.3,0.46399999999999997,0.0,0.1,0.0,2.9,6.2,0.46799999999999997,0.46399999999999997,0.5,0.8,0.5670000000000001,1.4,2.7,4.1,1.0,0.8,0.7,0.5,1.8,6.3,9.2,4.2,13.399999999999999
7,27.0,NOP,NBA,PF,66.0,27.0,25.0,2.3,5.1,0.457,0.0,0.2,0.1,2.3,5.0,0.46799999999999997,0.45899999999999996,0.4,0.7,0.617,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2,7.4,4.1,11.5
8,28.0,NOP,NBA,SF,80.0,46.0,24.6,2.3,5.2,0.451,0.7,2.2,0.316,1.6,3.0,0.55,0.518,0.7,1.0,0.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1,8.3,3.1,11.4
9,29.0,NOP,NBA,SF,66.0,35.0,25.0,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,8.2,4.3,12.5
10,,,NBA,,578.0,149.0,21.4,2.7,5.6,0.47100000000000003,0.2,0.7,0.326,2.4,5.0,0.491,0.491,0.6,0.9,0.65,1.2,2.6,3.8,0.7,0.7,0.5,0.5,1.8,6.1,8.2,3.8,12.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,NOP,NBA,,212.0,108.0,24.9,2.4,5.2,0.46399999999999997,0.6,1.7,0.348,1.8,3.5,0.521,0.521,0.5,0.7,0.654,0.9,2.8,3.6,0.8,0.6,0.5,0.5,1.8,5.9,7.9,3.9,11.8
13,,MIN,NBA,,161.0,16.0,22.6,3.4,7.3,0.466,0.0,0.1,0.0,3.4,7.3,0.47,0.466,0.7,1.1,0.618,1.6,3.0,4.6,0.9,0.9,0.6,0.6,1.9,7.5,10.3,4.5,14.8
14,,POR,NBA,,119.0,11.0,15.3,1.9,4.2,0.45899999999999996,0.0,0.1,0.0,1.9,4.2,0.465,0.45899999999999996,0.5,0.8,0.677,1.1,1.9,2.9,0.4,0.5,0.5,0.4,2.0,4.4,5.9,2.9,8.8
15,,MEM,NBA,,64.0,5.0,17.6,2.3,4.4,0.516,0.0,0.0,0.0,2.3,4.3,0.52,0.516,0.7,1.1,0.652,1.4,2.4,3.8,0.6,0.7,0.5,0.5,1.5,5.2,7.3,3.5999999999999996,10.899999999999999
16,,CHA,NBA,,22.0,9.0,24.0,4.2,8.2,0.508,0.0,0.4,0.111,4.1,7.8,0.529,0.511,0.6,0.8,0.765,1.0,3.0,4.0,0.6,0.7,0.5,0.8,1.7,9.0,10.399999999999999,4.2,14.599999999999998
