,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,BOS,NBA,PG,38.0,0.0,8.7,1.1,3.0,0.381,0.4,1.2,0.37799999999999995,0.7,1.8,0.382,0.456,0.2,0.2,1.0,0.1,0.8,0.9,0.9,0.3,0.1,0.6,0.9,2.9,4.2,1.2000000000000002,5.4
1,23.0,ORL,NBA,SG,75.0,21.0,22.4,3.2,8.0,0.396,0.9,2.6,0.34,2.3,5.3,0.424,0.452,0.6,0.8,0.797,0.6,1.6,2.2,2.7,0.7,0.3,1.4,1.6,7.8,12.4,2.5999999999999996,15.0
2,24.0,ORL,NBA,SG,79.0,3.0,19.1,2.5,5.8,0.428,0.7,2.0,0.354,1.7,3.7,0.46799999999999997,0.49,0.7,0.9,0.765,0.4,1.4,1.7,1.4,0.8,0.2,0.7,1.3,6.3,8.8,2.4000000000000004,11.200000000000001
3,25.0,CHI,NBA,SG,56.0,0.0,9.0,1.1,2.5,0.446,0.2,0.7,0.342,0.9,1.8,0.485,0.493,0.2,0.4,0.6,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7,3.8,1.1,4.9
4,26.0,CHI,NBA,SG,59.0,22.0,21.4,3.2,6.6,0.48100000000000004,0.8,1.8,0.452,2.4,4.8,0.491,0.541,0.4,0.6,0.629,0.3,1.9,2.3,1.7,0.6,0.3,0.9,1.7,7.5,10.299999999999999,2.8,13.099999999999998
5,27.0,NOP,NBA,SG,73.0,22.0,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1.0,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,13.7,2.6999999999999997,16.4
6,,,NBA,,380.0,68.0,18.7,2.7,6.1,0.435,0.7,2.0,0.369,1.9,4.1,0.467,0.495,0.5,0.7,0.7490000000000001,0.4,1.4,1.8,1.7,0.6,0.3,0.8,1.4,6.6,9.599999999999998,2.3,11.899999999999999
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,ORL,NBA,,154.0,24.0,20.7,2.8,6.8,0.41,0.8,2.3,0.34600000000000003,2.0,4.5,0.44299999999999995,0.469,0.6,0.8,0.78,0.5,1.5,2.0,2.1,0.7,0.2,1.0,1.5,7.1,10.8,2.4000000000000004,13.200000000000001
9,,CHI,NBA,,115.0,22.0,15.4,2.2,4.6,0.47200000000000003,0.5,1.2,0.423,1.6,3.4,0.49,0.528,0.3,0.5,0.618,0.3,1.3,1.6,1.1,0.5,0.2,0.6,1.3,5.1,7.0,2.0,9.0
10,,NOP,NBA,,73.0,22.0,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1.0,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,13.7,2.6999999999999997,16.4
11,,BOS,NBA,,38.0,0.0,8.7,1.1,3.0,0.381,0.4,1.2,0.37799999999999995,0.7,1.8,0.382,0.456,0.2,0.2,1.0,0.1,0.8,0.9,0.9,0.3,0.1,0.6,0.9,2.9,4.2,1.2000000000000002,5.4
