,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,SG,42.0,18.0,24.5,4.6,11.9,0.384,0.8,3.0,0.258,3.8,8.9,0.42700000000000005,0.41700000000000004,1.7,2.0,0.8690000000000001,0.7,1.8,2.5,2.8,0.9,0.1,2.0,1.5,11.7,16.0,2.8000000000000003,18.8
1,22.0,,NBA,SG,16.0,0.0,10.0,1.7,4.8,0.35100000000000003,0.6,1.7,0.33299999999999996,1.1,3.1,0.36,0.409,0.3,0.4,0.667,0.6,1.2,1.8,0.9,0.2,0.0,0.9,0.8,4.2,5.699999999999999,1.4,7.1
2,22.0,,NBA,SG,26.0,18.0,33.3,6.3,16.3,0.39,0.9,3.9,0.23800000000000002,5.4,12.4,0.43799999999999994,0.418,2.7,3.0,0.885,0.8,2.1,3.0,3.9,1.4,0.1,2.6,1.9,16.3,22.299999999999997,3.6,25.9
3,23.0,,NBA,SG,64.0,32.0,27.4,5.5,13.6,0.4,1.2,4.3,0.289,4.2,9.4,0.451,0.446,2.5,3.2,0.7929999999999999,0.7,1.9,2.6,3.0,0.9,0.1,2.2,1.7,14.7,19.2,2.9,22.099999999999998
4,24.0,,NBA,SG,70.0,14.0,24.4,4.3,10.4,0.415,1.2,3.5,0.337,3.1,6.8,0.455,0.47200000000000003,1.8,2.3,0.8109999999999999,0.6,2.4,3.0,3.2,0.6,0.1,2.0,1.5,11.6,16.6,3.1,19.700000000000003
5,24.0,,NBA,SG,43.0,12.0,26.2,4.9,11.8,0.415,1.4,4.0,0.345,3.5,7.8,0.451,0.473,2.0,2.5,0.821,0.7,2.4,3.1,3.7,0.6,0.1,2.3,1.4,13.2,18.999999999999996,3.1,22.099999999999998
6,24.0,,NBA,SG,27.0,2.0,21.6,3.3,8.0,0.415,0.9,2.8,0.32,2.4,5.3,0.465,0.47,1.6,2.0,0.792,0.5,2.3,2.7,2.5,0.4,0.1,1.6,1.7,9.1,13.0,2.8,15.8
7,25.0,,NBA,SG-PG,81.0,35.0,23.0,4.0,9.7,0.415,1.1,3.5,0.316,2.9,6.2,0.47100000000000003,0.47200000000000003,1.8,2.1,0.8640000000000001,0.3,1.9,2.3,3.5,0.6,0.1,1.7,1.5,11.0,16.6,2.6,19.200000000000003
8,25.0,,NBA,PG,39.0,35.0,30.7,4.8,11.7,0.413,1.3,4.0,0.318,3.5,7.6,0.46299999999999997,0.46799999999999997,2.8,3.2,0.873,0.5,2.6,3.1,5.7,0.9,0.1,2.2,1.9,13.7,23.400000000000002,3.6,27.000000000000004
9,25.0,,NBA,SG,42.0,0.0,15.7,3.3,7.9,0.41700000000000004,1.0,3.0,0.313,2.4,4.9,0.483,0.47700000000000004,0.9,1.0,0.8370000000000001,0.2,1.3,1.5,1.4,0.3,0.0,1.2,1.0,8.4,10.200000000000001,1.6,11.8
10,,26.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,27.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,28.0,,NBA,SG,19.0,0.0,23.3,5.5,11.5,0.48200000000000004,1.9,5.0,0.389,3.6,6.5,0.5529999999999999,0.5670000000000001,1.1,1.4,0.769,0.2,1.6,1.8,3.0,0.6,0.1,1.3,1.6,14.1,19.0,2.3000000000000003,21.3
13,,,NBA,,276.0,99.0,24.6,4.6,11.2,0.41100000000000003,1.2,3.7,0.314,3.4,7.5,0.45899999999999996,0.462,1.9,2.3,0.825,0.5,2.0,2.5,3.2,0.7,0.1,1.9,1.6,12.3,17.300000000000004,2.8000000000000003,20.100000000000005
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,NBA,,133.0,62.0,28.2,5.5,13.6,0.402,1.2,4.1,0.297,4.2,9.5,0.44799999999999995,0.447,2.4,2.9,0.8190000000000001,0.7,2.1,2.9,3.4,0.9,0.1,2.3,1.7,14.5,19.7,3.1,22.8
16,,,NBA,,66.0,37.0,27.0,4.2,10.2,0.414,1.1,3.5,0.319,3.1,6.7,0.46399999999999997,0.469,2.3,2.7,0.8490000000000001,0.5,2.5,2.9,4.4,0.7,0.1,1.9,1.8,11.8,19.200000000000003,3.3000000000000003,22.500000000000004
17,,,NBA,,42.0,0.0,15.7,3.3,7.9,0.41700000000000004,1.0,3.0,0.313,2.4,4.9,0.483,0.47700000000000004,0.9,1.0,0.8370000000000001,0.2,1.3,1.5,1.4,0.3,0.0,1.2,1.0,8.4,10.200000000000001,1.6,11.8
18,,,NBA,,19.0,0.0,23.3,5.5,11.5,0.48200000000000004,1.9,5.0,0.389,3.6,6.5,0.5529999999999999,0.5670000000000001,1.1,1.4,0.769,0.2,1.6,1.8,3.0,0.6,0.1,1.3,1.6,14.1,19.0,2.3000000000000003,21.3
19,,,NBA,,16.0,0.0,10.0,1.7,4.8,0.35100000000000003,0.6,1.7,0.33299999999999996,1.1,3.1,0.36,0.409,0.3,0.4,0.667,0.6,1.2,1.8,0.9,0.2,0.0,0.9,0.8,4.2,5.699999999999999,1.4,7.1
