,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,PHI,NBA,PG,73.0,51.0,24.2,3.2,7.1,0.442,0.8,2.2,0.39,2.3,4.9,0.465,0.502,0.9,1.2,0.7559999999999999,0.8,1.8,2.6,3.8,1.1,0.2,2.1,2.1,8.0,14.299999999999999,3.1000000000000005,17.4
1,20.0,PHI,NBA,PG,82.0,82.0,35.4,5.4,12.2,0.446,1.0,2.7,0.365,4.5,9.5,0.47,0.48700000000000004,2.1,2.5,0.823,0.8,3.2,4.0,6.5,1.5,0.4,2.7,2.5,14.0,25.1,5.1000000000000005,30.200000000000003
2,21.0,PHI,NBA,PG,65.0,65.0,33.8,5.5,12.8,0.43200000000000005,1.0,2.6,0.38,4.5,10.2,0.445,0.47100000000000003,1.4,1.8,0.7829999999999999,0.9,2.4,3.3,4.5,1.6,0.3,2.1,2.1,13.5,21.299999999999997,4.3,25.599999999999998
3,22.0,PHI,NBA,PG,78.0,78.0,37.5,7.1,16.5,0.431,1.2,3.2,0.368,5.9,13.3,0.446,0.466,2.3,3.1,0.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,2.2,17.7,31.099999999999998,5.1000000000000005,36.199999999999996
4,23.0,NOP,NBA,PG,34.0,34.0,33.6,6.0,13.4,0.447,0.9,2.3,0.39,5.1,11.1,0.45899999999999996,0.48,1.5,1.9,0.81,0.8,3.4,4.2,7.9,1.6,0.4,3.1,2.7,14.3,27.8,5.4,33.2
5,24.0,NOP,NBA,PG,40.0,37.0,32.6,6.0,13.4,0.446,1.3,3.4,0.37799999999999995,4.7,10.0,0.469,0.493,1.6,1.9,0.855,0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8,27.1,4.8,31.900000000000002
6,25.0,NOP,NBA,PG,65.0,23.0,28.2,6.3,14.4,0.439,1.3,4.0,0.336,5.0,10.4,0.478,0.485,2.8,3.3,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8,26.6,4.3,30.900000000000002
7,26.0,NOP,NBA,PG,67.0,61.0,32.7,6.0,13.3,0.45399999999999996,1.5,4.2,0.35600000000000004,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4,27.8,5.5,33.3
8,,,NBA,,504.0,431.0,32.3,5.6,12.8,0.441,1.1,3.1,0.366,4.5,9.7,0.465,0.485,1.8,2.3,0.7879999999999999,0.8,2.8,3.6,6.2,1.5,0.4,2.7,2.3,14.3,24.8,4.7,29.5
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,PHI,NBA,,298.0,276.0,32.9,5.3,12.2,0.43700000000000006,1.0,2.7,0.374,4.3,9.5,0.455,0.478,1.7,2.2,0.7809999999999999,0.9,2.7,3.6,5.8,1.4,0.3,2.7,2.2,13.4,23.2,4.3999999999999995,27.599999999999998
11,,NOP,NBA,,206.0,155.0,31.4,6.1,13.7,0.446,1.3,3.7,0.35600000000000004,4.8,10.0,0.479,0.494,2.0,2.5,0.797,0.6,2.9,3.6,6.9,1.5,0.5,2.7,2.3,15.5,27.2,4.9,32.1
