,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,CHI,NBA,C,82.0,0.0,12.1,1.0,1.7,0.5529999999999999,0.0,0.0,,1.0,1.7,0.5529999999999999,0.5529999999999999,0.9,1.8,0.503,1.4,2.4,3.7,0.4,0.2,0.7,0.8,1.9,2.8,4.2,3.3,7.5
1,25.0,CHI,NBA,C,66.0,2.0,14.7,1.2,2.4,0.506,0.0,0.0,,1.2,2.4,0.506,0.506,0.7,1.6,0.456,1.9,3.4,5.3,0.5,0.5,1.0,1.0,1.8,3.1,5.0,4.9,9.9
2,26.0,HOU,NBA,C,82.0,82.0,30.0,4.0,7.5,0.541,0.0,0.0,0.0,4.0,7.5,0.542,0.541,2.0,3.6,0.562,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,10.1,13.200000000000001,10.0,23.200000000000003
3,27.0,HOU,NBA,C,48.0,19.0,20.2,2.1,4.0,0.532,0.0,0.0,,2.1,4.0,0.532,0.532,1.6,2.6,0.619,2.1,5.8,7.9,0.5,0.3,0.8,1.2,1.9,5.8,7.7,6.8999999999999995,14.6
4,28.0,NOP,NBA,C,76.0,76.0,26.1,2.8,5.4,0.517,0.0,0.0,,2.8,5.4,0.517,0.517,1.7,3.0,0.5820000000000001,3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3,11.0,7.7,18.7
5,29.0,NOP,NBA,C,68.0,64.0,17.3,1.5,2.9,0.5329999999999999,0.0,0.0,,1.5,2.9,0.5329999999999999,0.5329999999999999,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0,5.699999999999999,4.8999999999999995,10.599999999999998
6,30.0,NOP,NBA,C,31.0,19.0,15.5,1.0,2.1,0.47700000000000004,0.0,0.0,,1.0,2.1,0.47700000000000004,0.47700000000000004,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,4.7,4.2,8.9
7,,,NBA,,453.0,262.0,19.9,2.1,3.9,0.529,0.0,0.0,0.0,2.1,3.9,0.529,0.529,1.3,2.3,0.5539999999999999,2.3,5.1,7.3,0.6,0.4,0.7,1.2,2.0,5.4,7.7,6.2,13.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,NOP,NBA,,175.0,159.0,20.8,2.0,3.8,0.518,0.0,0.0,,2.0,3.8,0.518,0.518,1.2,2.1,0.5720000000000001,2.4,5.2,7.6,0.6,0.3,0.5,1.0,1.8,5.2,7.800000000000001,6.0,13.8
10,,CHI,NBA,,148.0,2.0,13.2,1.1,2.0,0.529,0.0,0.0,,1.1,2.0,0.529,0.529,0.8,1.7,0.484,1.6,2.8,4.4,0.4,0.3,0.8,0.9,1.9,2.9,4.4,3.8999999999999995,8.3
11,,HOU,NBA,,130.0,101.0,26.4,3.3,6.2,0.539,0.0,0.0,0.0,3.3,6.2,0.539,0.539,1.9,3.3,0.579,2.9,7.4,10.3,0.8,0.5,1.0,1.8,2.4,8.6,11.299999999999999,8.9,20.2
