,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,SAC,NBA,SF,77.0,31.0,25.1,3.9,8.7,0.446,1.0,2.6,0.369,2.9,6.1,0.48,0.502,1.5,2.3,0.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3,12.4,4.5,16.9
1,22.0,SAC,NBA,SF,71.0,27.0,24.0,3.2,7.7,0.41200000000000003,1.3,3.5,0.37200000000000005,1.9,4.2,0.445,0.496,1.0,1.4,0.6729999999999999,1.0,3.3,4.3,1.0,0.8,0.2,1.0,1.6,8.6,10.6,4.3,14.899999999999999
2,23.0,CLE,NBA,SF,65.0,35.0,20.6,2.6,6.3,0.40299999999999997,0.8,2.6,0.315,1.7,3.8,0.46299999999999997,0.467,1.1,1.7,0.685,1.0,2.5,3.5,1.0,0.6,0.3,1.0,1.8,7.1,9.1,3.4,12.5
3,24.0,CLE,NBA,SF,43.0,1.0,11.7,1.5,3.7,0.39399999999999996,0.6,1.8,0.32899999999999996,0.9,2.0,0.452,0.47200000000000003,0.5,1.0,0.537,0.5,2.2,2.7,0.7,0.6,0.3,0.5,1.0,4.0,5.4,3.1,8.5
4,25.0,HOU,NBA,PF,71.0,2.0,18.1,2.4,5.8,0.42200000000000004,0.9,2.5,0.34700000000000003,1.6,3.3,0.479,0.496,1.2,1.7,0.68,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9,9.100000000000001,3.7,12.8
5,26.0,SAC,NBA,SF,67.0,19.0,21.1,3.1,6.4,0.489,0.5,1.3,0.402,2.6,5.1,0.512,0.53,2.1,2.9,0.733,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9,11.399999999999999,3.7,15.099999999999998
6,27.0,SAC,NBA,SF,69.0,21.0,27.2,4.3,9.0,0.48100000000000004,1.6,4.0,0.409,2.7,5.0,0.537,0.5710000000000001,1.5,2.3,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8,14.0,6.1,20.1
7,28.0,TOT,NBA,SF,36.0,2.0,17.9,2.1,4.6,0.47,0.4,1.2,0.349,1.7,3.4,0.512,0.515,0.5,0.8,0.586,0.8,2.4,3.1,1.0,0.6,0.1,0.8,1.4,5.2,7.2,3.1,10.3
8,28.0,SAC,NBA,SF,22.0,2.0,18.0,2.4,5.3,0.45299999999999996,0.5,1.3,0.379,1.9,4.0,0.47700000000000004,0.5,0.5,1.0,0.5710000000000001,0.9,3.2,4.1,1.2,0.5,0.0,0.8,1.0,5.9,8.399999999999999,3.7,12.099999999999998
9,28.0,NOP,NBA,SF,1.0,0.0,24.0,5.0,9.0,0.556,2.0,4.0,0.5,3.0,5.0,0.6,0.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0,11.0,1.0,12.0
10,28.0,MIN,NBA,SF,13.0,0.0,17.1,1.5,2.9,0.5,0.2,0.8,0.2,1.3,2.2,0.607,0.526,0.4,0.6,0.625,0.5,1.1,1.5,0.8,1.0,0.2,0.8,1.8,3.5,4.8,2.3000000000000003,7.1
11,,,NBA,,499.0,138.0,21.4,3.0,6.8,0.44299999999999995,0.9,2.6,0.36700000000000005,2.1,4.3,0.488,0.512,1.3,1.9,0.675,0.9,3.2,4.1,1.2,0.6,0.2,1.1,1.6,8.2,10.4,4.0,14.4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,SAC,NBA,,306.0,100.0,23.9,3.5,7.8,0.456,1.1,2.7,0.387,2.5,5.0,0.493,0.524,1.4,2.1,0.6809999999999999,0.9,3.7,4.6,1.3,0.7,0.2,1.2,1.7,9.6,11.9,4.6000000000000005,16.5
14,,CLE,NBA,,108.0,36.0,17.1,2.1,5.3,0.4,0.7,2.3,0.32,1.4,3.0,0.46,0.469,0.9,1.4,0.644,0.8,2.4,3.2,0.9,0.6,0.3,0.8,1.5,5.9,7.7,3.3,11.0
15,,HOU,NBA,,71.0,2.0,18.1,2.4,5.8,0.42200000000000004,0.9,2.5,0.34700000000000003,1.6,3.3,0.479,0.496,1.2,1.7,0.68,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9,9.100000000000001,3.7,12.8
16,,MIN,NBA,,13.0,0.0,17.1,1.5,2.9,0.5,0.2,0.8,0.2,1.3,2.2,0.607,0.526,0.4,0.6,0.625,0.5,1.1,1.5,0.8,1.0,0.2,0.8,1.8,3.5,4.8,2.3000000000000003,7.1
17,,NOP,NBA,,1.0,0.0,24.0,5.0,9.0,0.556,2.0,4.0,0.5,3.0,5.0,0.6,0.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0,11.0,1.0,12.0
