,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,SF,24.0,10.0,32.6,5.8,11.8,0.495,1.4,3.8,0.359,4.5,8.0,0.56,0.5529999999999999,2.2,2.6,0.8390000000000001,0.8,3.8,4.6,2.8,1.0,0.3,1.2,2.0,15.2,20.4,5.1,25.5
1,24.0,,NBA,SF,80.0,9.0,20.3,3.4,7.2,0.469,1.3,3.0,0.423,2.1,4.1,0.502,0.5579999999999999,1.3,1.7,0.746,0.6,2.1,2.7,1.5,0.4,0.0,0.7,1.6,9.2,12.1,2.5,14.6
2,25.0,,NBA,SF,33.0,13.0,22.6,3.2,7.7,0.41600000000000004,1.0,3.2,0.308,2.2,4.5,0.493,0.48,0.9,1.2,0.725,0.8,2.0,2.8,1.8,0.6,0.1,1.0,1.0,8.3,11.700000000000001,2.7,14.400000000000002
3,26.0,,NBA,SF,40.0,0.0,9.5,1.4,3.3,0.43200000000000005,0.6,1.8,0.306,0.9,1.5,0.583,0.515,0.3,0.5,0.47600000000000003,0.2,1.1,1.3,1.0,0.3,0.0,0.5,0.5,3.7,5.4,1.4000000000000001,6.800000000000001
4,27.0,,NBA,SF,3.0,0.0,5.7,1.7,3.0,0.556,0.3,1.0,0.33299999999999996,1.3,2.0,0.667,0.611,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.3,3.7,3.5999999999999996,0.3,3.8999999999999995
5,28.0,,NBA,SF,20.0,0.0,5.3,0.8,2.0,0.385,0.2,1.0,0.158,0.6,1.0,0.6,0.423,0.2,0.2,1.0,0.3,0.6,0.9,0.5,0.1,0.0,0.1,0.6,1.9,3.1,0.7,3.8
6,,29.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30.0,,NBA,SF,6.0,0.0,13.2,1.3,3.8,0.348,0.8,1.8,0.455,0.5,2.0,0.25,0.457,1.0,1.2,0.857,0.3,0.7,1.0,0.7,0.5,0.0,0.0,0.3,4.5,6.2,1.2,7.4
8,,,NBA,,206.0,32.0,18.1,2.9,6.4,0.456,1.0,2.6,0.365,1.9,3.7,0.521,0.532,1.0,1.3,0.75,0.5,1.9,2.4,1.5,0.4,0.1,0.7,1.2,7.8,10.600000000000001,2.4,13.000000000000002
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,NBA,,104.0,19.0,23.2,3.9,8.2,0.47700000000000004,1.3,3.2,0.405,2.6,5.0,0.523,0.556,1.5,1.9,0.7759999999999999,0.6,2.5,3.1,1.8,0.5,0.1,0.8,1.7,10.6,14.0,3.1,17.1
11,,,NBA,,73.0,13.0,15.4,2.2,5.3,0.42100000000000004,0.8,2.5,0.307,1.5,2.8,0.519,0.49200000000000005,0.5,0.8,0.639,0.5,1.5,2.0,1.4,0.4,0.1,0.7,0.7,5.8,8.4,2.0,10.4
12,,,NBA,,20.0,0.0,5.3,0.8,2.0,0.385,0.2,1.0,0.158,0.6,1.0,0.6,0.423,0.2,0.2,1.0,0.3,0.6,0.9,0.5,0.1,0.0,0.1,0.6,1.9,3.1,0.7,3.8
13,,,NBA,,6.0,0.0,13.2,1.3,3.8,0.348,0.8,1.8,0.455,0.5,2.0,0.25,0.457,1.0,1.2,0.857,0.3,0.7,1.0,0.7,0.5,0.0,0.0,0.3,4.5,6.2,1.2,7.4
14,,,NBA,,3.0,0.0,5.7,1.7,3.0,0.556,0.3,1.0,0.33299999999999996,1.3,2.0,0.667,0.611,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.3,3.7,3.5999999999999996,0.3,3.8999999999999995
