,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,UTA,NBA,C,66.0,0.0,13.2,1.8,3.6,0.496,0.0,0.0,0.0,1.8,3.6,0.498,0.496,1.1,1.6,0.667,1.6,2.6,4.2,0.1,0.3,0.3,0.8,1.3,4.6,5.6,3.1999999999999997,8.799999999999999
1,20.0,UTA,NBA,C,70.0,2.0,15.4,2.9,5.4,0.544,0.0,0.0,1.0,2.9,5.4,0.542,0.545,1.3,1.7,0.795,1.9,2.4,4.3,0.4,0.4,0.5,1.4,1.7,7.2,8.5,3.3,11.8
2,21.0,UTA,NBA,C,80.0,37.0,26.7,5.2,10.7,0.491,0.0,0.0,0.0,5.2,10.7,0.49200000000000005,0.491,1.9,2.6,0.73,2.8,4.7,7.5,0.9,0.4,0.5,1.8,2.9,12.3,15.099999999999998,5.6000000000000005,20.7
3,22.0,TOT,NBA,C,75.0,74.0,28.5,6.4,12.4,0.519,0.2,0.6,0.35600000000000004,6.2,11.8,0.528,0.528,2.4,3.1,0.782,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5,18.700000000000003,6.2,24.900000000000002
4,22.0,UTA,NBA,C,49.0,48.0,27.1,5.8,11.9,0.491,0.3,0.8,0.317,5.6,11.0,0.505,0.503,1.9,2.4,0.7879999999999999,3.0,4.8,7.8,0.5,0.5,0.3,1.9,2.3,13.8,15.9,5.6,21.5
5,22.0,OKC,NBA,C,26.0,26.0,31.1,7.5,13.3,0.5660000000000001,0.1,0.2,0.75,7.4,13.2,0.564,0.5710000000000001,3.5,4.5,0.7759999999999999,5.0,6.0,11.0,1.1,0.5,0.5,2.0,2.9,18.7,23.9,7.0,30.9
6,23.0,OKC,NBA,C,82.0,1.0,21.0,5.0,8.8,0.5760000000000001,0.1,0.3,0.47600000000000003,4.9,8.5,0.579,0.583,2.4,3.1,0.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7,15.1,5.8,20.9
7,24.0,OKC,NBA,C,72.0,0.0,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.5489999999999999,3.1,4.0,0.7859999999999999,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3,17.1,4.9,22.0
8,,,NBA,,445.0,114.0,21.3,4.6,8.7,0.53,0.1,0.2,0.299,4.5,8.4,0.536,0.534,2.1,2.7,0.768,2.7,4.1,6.7,0.6,0.4,0.4,1.5,2.1,11.3,13.700000000000001,4.9,18.6
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,UTA,NBA,,265.0,87.0,20.4,3.9,7.7,0.501,0.1,0.2,0.318,3.8,7.6,0.505,0.505,1.5,2.1,0.7440000000000001,2.3,3.6,5.9,0.5,0.4,0.4,1.5,2.1,9.3,11.100000000000001,4.4,15.500000000000002
11,,OKC,NBA,,180.0,27.0,22.6,5.6,10.0,0.562,0.1,0.4,0.28600000000000003,5.5,9.7,0.5720000000000001,0.5670000000000001,2.9,3.6,0.7879999999999999,3.2,4.8,8.0,0.7,0.4,0.5,1.6,2.2,14.2,17.199999999999996,5.7,22.899999999999995
