,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,DEN,NBA,C,24.0,1.0,11.2,1.5,3.7,0.40399999999999997,0.1,0.7,0.188,1.4,3.0,0.452,0.42100000000000004,0.8,1.2,0.643,1.1,2.1,3.2,0.5,0.3,0.4,0.9,1.8,3.9,5.1,2.8,7.8999999999999995
1,24.0,DEN,NBA,C,59.0,15.0,17.6,3.3,6.4,0.513,0.2,0.9,0.245,3.1,5.5,0.557,0.53,1.1,1.2,0.899,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,7.9,10.1,4.1000000000000005,14.2
2,25.0,TOT,NBA,PF-C,70.0,1.0,14.0,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1.0,0.63,1.0,2.6,3.6,1.0,0.4,0.1,0.8,1.2,5.4,7.6000000000000005,3.1,10.700000000000001
3,25.0,OKC,NBA,PF,50.0,0.0,14.8,2.2,4.9,0.455,0.5,1.6,0.34600000000000003,1.7,3.3,0.506,0.51,0.7,1.2,0.638,1.0,2.6,3.7,1.0,0.4,0.1,0.8,1.4,5.7,7.8999999999999995,3.1,11.0
4,25.0,CHI,NBA,C,20.0,1.0,12.1,1.9,4.6,0.402,0.3,1.0,0.3,1.6,3.6,0.431,0.435,0.5,0.8,0.6,1.1,2.4,3.4,1.0,0.4,0.0,0.8,0.6,4.5,6.8,2.8,9.6
5,,,NBA,,153.0,17.0,15.0,2.5,5.3,0.47100000000000003,0.3,1.1,0.293,2.2,4.2,0.517,0.501,0.8,1.1,0.741,1.2,2.9,4.0,0.9,0.3,0.2,0.9,1.6,6.1,8.2,3.4,11.6
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,DEN,NBA,,83.0,16.0,15.8,2.8,5.7,0.493,0.2,0.8,0.23199999999999998,2.6,4.8,0.5379999999999999,0.51,1.0,1.2,0.825,1.3,3.2,4.4,0.8,0.3,0.3,0.9,1.9,6.7,8.700000000000001,3.8,12.5
8,,OKC,NBA,,50.0,0.0,14.8,2.2,4.9,0.455,0.5,1.6,0.34600000000000003,1.7,3.3,0.506,0.51,0.7,1.2,0.638,1.0,2.6,3.7,1.0,0.4,0.1,0.8,1.4,5.7,7.8999999999999995,3.1,11.0
9,,CHI,NBA,,20.0,1.0,12.1,1.9,4.6,0.402,0.3,1.0,0.3,1.6,3.6,0.431,0.435,0.5,0.8,0.6,1.1,2.4,3.4,1.0,0.4,0.0,0.8,0.6,4.5,6.8,2.8,9.6
