,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,LAC,NBA,PG,81.0,25.0,22.7,2.5,6.0,0.424,0.4,1.4,0.276,2.1,4.6,0.47,0.457,1.2,1.6,0.7440000000000001,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1.6,6.7,12.299999999999999,3.3,15.599999999999998
1,22.0,LAC,NBA,PG,40.0,1.0,11.6,1.2,3.2,0.389,0.2,0.8,0.2,1.1,2.4,0.44799999999999995,0.413,0.7,1.1,0.636,0.6,1.1,1.6,1.7,0.8,0.4,1.2,1.5,3.3,6.1,2.3000000000000003,8.4
2,23.0,LAC,NBA,PG,76.0,12.0,20.4,3.3,7.5,0.445,0.4,1.0,0.397,2.9,6.4,0.45299999999999996,0.473,1.4,1.8,0.7909999999999999,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5,13.899999999999999,4.0,17.9
3,24.0,PHO,NBA,PG,43.0,40.0,32.9,6.2,12.9,0.47700000000000004,1.2,3.3,0.35700000000000004,5.0,9.7,0.517,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7,25.999999999999996,5.999999999999999,31.999999999999996
4,25.0,PHO,NBA,PG,81.0,81.0,34.6,5.8,12.9,0.447,1.1,3.4,0.324,4.7,9.6,0.491,0.489,4.4,5.4,0.8,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17.0,26.700000000000003,6.5,33.2
5,26.0,PHO,NBA,PG,31.0,31.0,34.2,7.2,15.9,0.45299999999999996,1.5,4.2,0.37200000000000005,5.6,11.7,0.48200000000000004,0.502,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4,29.699999999999996,6.1,35.8
6,27.0,PHO,NBA,PG,66.0,66.0,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.47700000000000004,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,31.1,6.0,37.1
7,,,NBA,,418.0,256.0,27.1,4.6,10.3,0.444,0.9,2.6,0.33399999999999996,3.7,7.7,0.48100000000000004,0.486,3.1,3.9,0.8,0.8,3.0,3.8,4.6,1.4,0.5,2.7,2.0,13.1,20.400000000000002,4.9,25.300000000000004
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,PHO,NBA,,221.0,218.0,33.7,6.4,14.2,0.449,1.3,3.9,0.341,5.0,10.3,0.49,0.496,4.8,5.9,0.812,0.8,4.1,4.8,6.0,1.6,0.5,3.4,2.4,18.8,28.200000000000003,6.199999999999999,34.400000000000006
10,,LAC,NBA,,197.0,38.0,19.6,2.6,6.0,0.431,0.4,1.1,0.308,2.2,4.9,0.45899999999999996,0.46,1.2,1.6,0.7490000000000001,0.9,1.8,2.6,3.0,1.2,0.5,1.9,1.5,6.7,11.700000000000001,3.5,15.200000000000001
