,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,ATL,NBA,SG,61.0,2.0,14.8,2.1,4.8,0.446,0.9,2.3,0.384,1.3,2.6,0.5,0.536,1.0,1.1,0.843,0.3,1.3,1.5,0.9,0.2,0.2,0.7,0.6,6.1,7.499999999999999,1.7,9.2
1,22.0,ATL,NBA,SG,13.0,0.0,12.2,1.2,3.2,0.381,0.3,1.4,0.222,0.9,1.8,0.5,0.429,0.3,0.3,1.0,0.2,1.5,1.7,0.8,0.1,0.1,0.8,0.8,3.1,4.1000000000000005,1.7000000000000002,5.800000000000001
2,23.0,ATL,NBA,SG,24.0,3.0,12.4,2.0,4.1,0.495,0.9,2.2,0.40399999999999997,1.2,2.0,0.596,0.601,0.7,0.8,0.8420000000000001,0.1,1.5,1.6,0.5,0.4,0.0,0.3,0.6,5.6,6.3999999999999995,1.9,8.299999999999999
3,24.0,TOT,NBA,SG,43.0,3.0,11.2,1.7,3.7,0.444,0.4,1.2,0.314,1.3,2.5,0.505,0.494,0.5,0.6,0.833,0.2,1.1,1.3,0.8,0.2,0.0,0.6,0.5,4.1,5.3,1.3,6.6
4,24.0,DAL,NBA,SG,21.0,1.0,9.2,1.4,3.3,0.414,0.1,0.9,0.158,1.2,2.4,0.51,0.436,0.4,0.4,0.889,0.2,0.9,1.0,0.4,0.1,0.0,0.5,0.5,3.3,3.8,1.0,4.8
5,24.0,PHO,NBA,SG,22.0,2.0,13.0,1.9,4.1,0.467,0.6,1.5,0.406,1.3,2.6,0.5,0.539,0.5,0.7,0.8,0.2,1.4,1.6,1.2,0.2,0.0,0.7,0.5,5.0,6.8999999999999995,1.5999999999999999,8.5
6,25.0,PHO,NBA,SG,4.0,0.0,3.3,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.33299999999999996,0.5,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8,2.4,0.3,2.6999999999999997
7,,,NBA,,145.0,8.0,12.8,1.9,4.1,0.44799999999999995,0.7,1.8,0.364,1.2,2.3,0.513,0.528,0.7,0.8,0.8490000000000001,0.2,1.3,1.5,0.8,0.2,0.1,0.6,0.6,5.1,6.3,1.6,7.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,ATL,NBA,,98.0,5.0,13.8,2.0,4.4,0.451,0.8,2.1,0.375,1.2,2.3,0.52,0.54,0.8,0.9,0.8490000000000001,0.2,1.4,1.6,0.8,0.2,0.1,0.6,0.6,5.6,6.8,1.7,8.5
10,,PHO,NBA,,26.0,2.0,11.5,1.7,3.7,0.46299999999999997,0.5,1.3,0.41200000000000003,1.2,2.3,0.49200000000000005,0.537,0.5,0.7,0.8240000000000001,0.2,1.2,1.4,1.0,0.2,0.0,0.6,0.4,4.5,6.1000000000000005,1.4,7.5
11,,DAL,NBA,,21.0,1.0,9.2,1.4,3.3,0.414,0.1,0.9,0.158,1.2,2.4,0.51,0.436,0.4,0.4,0.889,0.2,0.9,1.0,0.4,0.1,0.0,0.5,0.5,3.3,3.8,1.0,4.8
