,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,SAC,NBA,PG,29.0,0.0,5.2,0.7,2.0,0.36200000000000004,0.2,0.9,0.222,0.5,1.1,0.484,0.414,0.4,0.4,1.0,0.2,0.3,0.5,0.4,0.2,0.0,0.3,0.3,2.1,2.8000000000000003,0.5,3.3000000000000003
1,23.0,SAC,NBA,PG,58.0,1.0,9.7,1.2,3.0,0.39,0.4,1.1,0.32299999999999995,0.8,1.8,0.43,0.451,0.6,0.9,0.6729999999999999,0.3,1.0,1.2,0.8,0.5,0.1,0.6,1.1,3.3,4.6000000000000005,1.6,6.200000000000001
2,24.0,UTA,NBA,PG,61.0,3.0,9.6,1.4,3.3,0.431,0.4,1.2,0.34700000000000003,1.0,2.1,0.48100000000000004,0.495,0.4,0.6,0.684,0.1,0.6,0.8,1.3,0.5,0.0,0.5,1.4,3.7,5.9,1.1,7.0
3,25.0,UTA,NBA,PG,52.0,17.0,14.2,1.5,3.9,0.379,0.4,1.2,0.311,1.1,2.7,0.408,0.426,0.7,0.9,0.7559999999999999,0.2,1.1,1.3,2.1,0.8,0.1,1.2,1.4,4.0,7.2,2.0,9.2
4,26.0,UTA,NBA,PG,60.0,4.0,13.4,1.6,4.0,0.405,0.3,1.1,0.28600000000000003,1.3,3.0,0.447,0.442,0.7,1.0,0.695,0.5,0.8,1.2,2.1,0.7,0.2,0.9,1.8,4.3,8.1,1.7,9.799999999999999
5,27.0,UTA,NBA,SG,59.0,0.0,12.2,1.3,3.6,0.35200000000000004,0.3,1.2,0.29,0.9,2.4,0.38299999999999995,0.4,0.5,0.7,0.7440000000000001,0.4,0.7,1.0,0.9,0.7,0.1,0.9,1.8,3.3,4.6,1.5,6.1
6,28.0,PHO,NBA,PG,36.0,8.0,14.4,1.4,3.6,0.377,0.4,1.2,0.295,1.0,2.4,0.419,0.42700000000000005,0.6,0.7,0.8,0.5,1.1,1.6,1.9,0.9,0.1,1.3,2.0,3.6,6.6000000000000005,2.1,8.700000000000001
7,29.0,POR,NBA,PG,39.0,0.0,13.1,1.0,3.1,0.325,0.3,1.0,0.256,0.7,2.1,0.358,0.36700000000000005,0.4,0.6,0.708,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7,5.8999999999999995,1.6,7.5
8,30.0,ORL,NBA,SG,31.0,2.0,12.2,0.9,3.0,0.304,0.3,1.4,0.209,0.6,1.6,0.38799999999999996,0.353,0.3,0.4,0.6920000000000001,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4,6.1000000000000005,2.0,8.100000000000001
9,31.0,LAL,NBA,PG,43.0,20.0,22.8,1.8,5.2,0.345,0.7,2.5,0.284,1.1,2.7,0.40399999999999997,0.415,0.8,1.0,0.8,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1,11.9,2.9,14.8
10,32.0,PHO,NBA,PG,62.0,18.0,19.5,1.9,4.9,0.384,1.1,3.2,0.34700000000000003,0.8,1.7,0.45299999999999996,0.49700000000000005,0.5,0.7,0.7559999999999999,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3,9.4,2.6,12.0
11,33.0,PHO,NBA,PG,14.0,0.0,9.6,0.3,1.7,0.16699999999999998,0.2,1.2,0.17600000000000002,0.1,0.5,0.14300000000000002,0.22899999999999998,0.2,0.3,0.75,0.2,0.6,0.8,1.3,0.8,0.1,0.2,1.0,1.0,3.6,1.5,5.1
12,,,NBA,,544.0,73.0,13.4,1.4,3.6,0.373,0.4,1.5,0.302,0.9,2.2,0.42200000000000004,0.434,0.5,0.7,0.738,0.3,0.9,1.2,1.8,0.8,0.1,0.9,1.7,3.7,6.699999999999999,1.8000000000000003,8.5
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,UTA,NBA,,232.0,24.0,12.3,1.5,3.7,0.392,0.4,1.2,0.31,1.1,2.5,0.43,0.441,0.6,0.8,0.718,0.3,0.8,1.1,1.6,0.7,0.1,0.9,1.6,3.8,6.3999999999999995,1.6,8.0
15,,PHO,NBA,,112.0,26.0,16.6,1.5,4.1,0.371,0.8,2.3,0.327,0.8,1.8,0.42700000000000005,0.46299999999999997,0.5,0.6,0.7709999999999999,0.4,1.1,1.5,2.1,1.1,0.2,1.1,2.2,4.3,7.800000000000001,2.4000000000000004,10.200000000000001
16,,SAC,NBA,,87.0,1.0,8.2,1.0,2.6,0.38299999999999995,0.3,1.1,0.293,0.7,1.6,0.442,0.441,0.6,0.8,0.731,0.2,0.8,1.0,0.7,0.4,0.0,0.5,0.9,2.9,4.0,1.2000000000000002,5.2
17,,LAL,NBA,,43.0,20.0,22.8,1.8,5.2,0.345,0.7,2.5,0.284,1.1,2.7,0.40399999999999997,0.415,0.8,1.0,0.8,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1,11.9,2.9,14.8
18,,POR,NBA,,39.0,0.0,13.1,1.0,3.1,0.325,0.3,1.0,0.256,0.7,2.1,0.358,0.36700000000000005,0.4,0.6,0.708,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7,5.8999999999999995,1.6,7.5
19,,ORL,NBA,,31.0,2.0,12.2,0.9,3.0,0.304,0.3,1.4,0.209,0.6,1.6,0.38799999999999996,0.353,0.3,0.4,0.6920000000000001,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4,6.1000000000000005,2.0,8.100000000000001
