,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHI,NBA,SG,78.0,14.0,23.0,2.9,6.8,0.425,0.2,0.6,0.318,2.7,6.2,0.435,0.439,1.3,1.6,0.8079999999999999,0.5,3.4,3.9,2.0,0.6,0.2,1.0,1.8,7.2,10.7,4.2,14.899999999999999
1,23.0,PHI,NBA,SF,65.0,20.0,26.4,4.0,9.1,0.446,0.2,0.8,0.22399999999999998,3.9,8.3,0.466,0.455,1.1,1.7,0.6759999999999999,0.4,5.4,5.8,2.8,0.6,0.3,1.6,1.8,9.4,13.8,6.3,20.1
2,24.0,PHI,NBA,SF,82.0,82.0,35.3,5.4,12.8,0.419,0.7,1.9,0.365,4.7,10.9,0.428,0.446,1.9,2.5,0.74,0.7,5.6,6.3,4.3,0.9,0.2,2.3,2.4,13.3,20.3,6.7,27.0
3,25.0,TOT,NBA,SF,81.0,56.0,30.3,5.4,12.6,0.425,0.6,1.9,0.321,4.7,10.7,0.444,0.45,2.6,3.2,0.813,0.8,4.3,5.0,3.2,0.8,0.1,2.3,2.4,14.0,18.9,5.199999999999999,24.099999999999998
4,25.0,PHI,NBA,SF,54.0,54.0,34.9,6.6,15.4,0.428,0.7,2.4,0.28800000000000003,5.9,12.9,0.455,0.451,3.5,4.2,0.8290000000000001,0.9,5.0,6.0,3.7,1.0,0.1,2.9,2.7,17.4,22.8,6.1,28.9
5,25.0,IND,NBA,SF,27.0,2.0,21.1,2.9,7.0,0.41100000000000003,0.4,0.9,0.5,2.4,6.1,0.39799999999999996,0.442,0.9,1.3,0.706,0.4,2.7,3.2,2.4,0.4,0.1,1.3,1.8,7.1,11.0,3.2,14.2
6,26.0,BOS,NBA,SG,82.0,57.0,27.6,3.9,9.1,0.429,0.4,1.5,0.27699999999999997,3.5,7.6,0.45799999999999996,0.451,1.3,1.7,0.752,0.5,4.6,5.1,5.5,1.0,0.2,2.4,2.2,9.5,18.6,5.8,24.400000000000002
7,27.0,BOS,NBA,SG,81.0,12.0,28.0,4.2,9.3,0.456,0.2,1.0,0.24100000000000002,4.0,8.3,0.48200000000000004,0.469,1.8,2.2,0.8270000000000001,0.6,4.3,4.9,4.4,1.0,0.3,2.1,1.7,10.5,17.799999999999997,5.6,23.4
8,28.0,POR,NBA,SF,65.0,12.0,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.45399999999999996,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,14.5,4.4,18.9
9,,,NBA,,534.0,253.0,28.2,4.2,9.8,0.431,0.4,1.4,0.298,3.8,8.5,0.45299999999999996,0.452,1.6,2.1,0.782,0.6,4.4,5.0,3.7,0.8,0.2,1.9,2.0,10.5,16.6,5.4,22.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,PHI,NBA,,279.0,170.0,29.7,4.6,10.8,0.428,0.4,1.4,0.315,4.2,9.4,0.444,0.44799999999999995,1.9,2.4,0.773,0.6,4.8,5.5,3.2,0.8,0.2,1.9,2.1,11.5,16.6,5.8,22.400000000000002
12,,BOS,NBA,,163.0,69.0,27.8,4.1,9.2,0.442,0.3,1.2,0.262,3.7,8.0,0.47,0.46,1.6,2.0,0.794,0.6,4.4,5.0,5.0,1.0,0.3,2.3,2.0,10.0,18.3,5.7,24.0
13,,POR,NBA,,65.0,12.0,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.45399999999999996,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,14.5,4.4,18.9
14,,IND,NBA,,27.0,2.0,21.1,2.9,7.0,0.41100000000000003,0.4,0.9,0.5,2.4,6.1,0.39799999999999996,0.442,0.9,1.3,0.706,0.4,2.7,3.2,2.4,0.4,0.1,1.3,1.8,7.1,11.0,3.2,14.2
