,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,DET,NBA,SG,75.0,9.0,12.9,1.3,3.2,0.41100000000000003,0.1,0.6,0.20800000000000002,1.2,2.6,0.461,0.43200000000000005,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,5.1,1.8000000000000003,6.9
1,23.0,DET,NBA,SG,74.0,8.0,16.7,1.8,4.1,0.43700000000000006,0.6,1.4,0.402,1.2,2.6,0.456,0.508,0.8,1.0,0.8170000000000001,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9,5.9,1.9999999999999998,7.9
2,24.0,DEN,NBA,SG,82.0,75.0,27.1,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,12.0,3.4,15.4
3,25.0,DEN,NBA,SG,69.0,69.0,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3.0,5.5,0.546,0.581,2.0,2.4,0.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,17.1,3.9,21.0
4,26.0,DEN,NBA,SG,62.0,62.0,33.6,5.3,11.3,0.47100000000000003,1.4,3.6,0.39799999999999996,3.9,7.7,0.504,0.534,3.2,4.0,0.7979999999999999,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2,19.2,3.3000000000000003,22.5
5,27.0,ORL,NBA,SF,64.0,64.0,36.0,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,21.2,4.1,25.299999999999997
6,28.0,ORL,NBA,SG,73.0,73.0,35.0,6.4,13.8,0.45899999999999996,1.8,4.1,0.42700000000000005,4.6,9.7,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2,23.4,3.7,27.099999999999998
7,29.0,TOT,NBA,SG,78.0,72.0,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,15.5,3.4,18.9
8,29.0,DEN,NBA,SG,53.0,53.0,33.0,5.3,12.4,0.428,1.5,4.6,0.337,3.8,7.8,0.48100000000000004,0.49,2.4,2.8,0.841,0.4,3.0,3.4,1.9,0.6,0.1,1.6,2.0,14.5,17.099999999999998,3.7,20.799999999999997
9,29.0,POR,NBA,SG,25.0,19.0,30.1,3.8,9.1,0.414,1.4,3.6,0.4,2.3,5.5,0.423,0.493,1.6,1.9,0.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6,11.7,2.9,14.6
10,30.0,NYK,NBA,SG,71.0,57.0,33.4,5.0,11.3,0.44299999999999995,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8,15.900000000000002,3.9,19.8
11,31.0,SAC,NBA,SG,61.0,45.0,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,10.400000000000002,2.3,12.700000000000003
12,,,NBA,,709.0,534.0,28.4,4.1,9.1,0.451,1.2,3.0,0.386,3.0,6.1,0.483,0.515,1.9,2.3,0.825,0.5,2.5,3.0,1.9,0.5,0.2,1.2,2.0,11.3,14.400000000000002,3.2,17.6
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,DEN,NBA,,266.0,259.0,31.5,4.5,9.7,0.465,1.4,3.6,0.39899999999999997,3.0,6.0,0.505,0.54,2.0,2.5,0.81,0.6,2.7,3.3,2.1,0.6,0.3,1.2,2.3,12.4,16.0,3.6,19.6
15,,DET,NBA,,149.0,17.0,14.8,1.5,3.6,0.425,0.4,1.0,0.342,1.2,2.6,0.45899999999999996,0.474,0.8,1.1,0.797,0.4,1.4,1.8,0.6,0.4,0.1,0.5,1.5,4.3,5.4,1.9,7.300000000000001
16,,ORL,NBA,,137.0,137.0,35.5,6.3,14.0,0.449,1.5,3.9,0.37,4.8,10.0,0.48,0.502,3.4,4.1,0.8320000000000001,0.4,3.2,3.7,3.3,0.5,0.1,2.1,2.0,17.4,22.299999999999997,3.8000000000000003,26.099999999999998
17,,NYK,NBA,,71.0,57.0,33.4,5.0,11.3,0.44299999999999995,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8,15.900000000000002,3.9,19.8
18,,SAC,NBA,,61.0,45.0,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,10.400000000000002,2.3,12.700000000000003
19,,POR,NBA,,25.0,19.0,30.1,3.8,9.1,0.414,1.4,3.6,0.4,2.3,5.5,0.423,0.493,1.6,1.9,0.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6,11.7,2.9,14.6
