,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,PG,72.0,2.0,15.1,1.7,4.1,0.42200000000000004,0.6,1.9,0.32799999999999996,1.1,2.2,0.503,0.498,0.4,0.5,0.711,0.3,1.3,1.7,1.9,0.6,0.1,1.0,1.1,4.4,7.5,2.0,9.5
1,21.0,,NBA,PG,82.0,0.0,20.6,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4.0,0.546,0.552,0.6,1.0,0.679,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1,13.7,2.8000000000000003,16.5
2,22.0,,NBA,PG,65.0,0.0,18.3,2.5,6.3,0.391,0.8,2.2,0.336,1.7,4.1,0.42100000000000004,0.45,0.7,1.2,0.584,0.3,1.5,1.8,2.4,0.9,0.2,1.3,1.6,6.4,10.2,2.6,12.799999999999999
3,23.0,,NBA,PG,82.0,0.0,18.0,2.7,6.3,0.435,1.0,2.8,0.376,1.7,3.5,0.483,0.518,0.7,1.0,0.6709999999999999,0.2,1.4,1.6,1.5,0.6,0.1,0.9,1.3,7.2,9.5,2.1,11.6
4,24.0,,NBA,PG,73.0,18.0,24.6,3.5,8.9,0.392,1.5,4.2,0.359,2.0,4.8,0.42100000000000004,0.475,1.1,1.4,0.82,0.3,2.0,2.4,5.0,0.8,0.1,1.9,1.8,9.6,18.0,2.9,20.9
5,25.0,,NBA,PG,39.0,5.0,21.3,3.8,8.1,0.467,1.4,3.2,0.44,2.4,4.9,0.484,0.5539999999999999,1.5,1.6,0.905,0.2,1.4,1.6,3.3,0.6,0.1,1.7,1.3,10.4,15.5,2.1,17.6
6,,26.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.0,,NBA,PG,41.0,5.0,22.2,3.7,8.9,0.415,1.7,3.9,0.43799999999999994,2.0,5.0,0.397,0.511,1.1,1.4,0.746,0.5,2.0,2.5,4.9,0.9,0.2,2.3,1.6,10.1,18.099999999999998,3.1,21.2
8,28.0,,NBA,PG,36.0,0.0,14.7,1.7,4.4,0.386,1.0,2.7,0.361,0.7,1.7,0.426,0.49700000000000005,0.3,0.3,0.909,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6,7.699999999999999,1.6,9.299999999999999
9,29.0,,NBA,PG,12.0,10.0,24.3,3.5,8.3,0.42,1.3,3.8,0.35600000000000004,2.2,4.6,0.473,0.5,0.8,0.8,1.0,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2,14.2,3.3000000000000003,17.5
10,30.0,,NBA,PG,2.0,0.0,17.5,2.0,6.0,0.33299999999999996,2.0,4.5,0.444,0.0,1.5,0.0,0.5,0.0,0.0,,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0,14.0,2.0,16.0
11,,,NBA,,504.0,40.0,19.5,2.9,6.8,0.423,1.2,3.1,0.374,1.7,3.8,0.46299999999999997,0.507,0.8,1.0,0.7390000000000001,0.3,1.6,1.9,2.9,0.8,0.1,1.4,1.4,7.7,12.4,2.5000000000000004,14.9
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,NBA,,342.0,7.0,18.6,2.8,6.5,0.429,1.1,2.9,0.37200000000000005,1.7,3.6,0.475,0.511,0.7,1.0,0.6709999999999999,0.3,1.6,1.9,2.5,0.8,0.1,1.3,1.3,7.3,11.299999999999999,2.5000000000000004,13.799999999999999
14,,,NBA,,112.0,23.0,23.5,3.6,8.6,0.41600000000000004,1.5,3.8,0.382,2.1,4.8,0.44299999999999995,0.501,1.2,1.5,0.853,0.3,1.8,2.1,4.4,0.8,0.1,1.8,1.6,9.9,17.2,2.7,19.9
15,,,NBA,,36.0,0.0,14.7,1.7,4.4,0.386,1.0,2.7,0.361,0.7,1.7,0.426,0.49700000000000005,0.3,0.3,0.909,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6,7.699999999999999,1.6,9.299999999999999
16,,,NBA,,12.0,10.0,24.3,3.5,8.3,0.42,1.3,3.8,0.35600000000000004,2.2,4.6,0.473,0.5,0.8,0.8,1.0,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2,14.2,3.3000000000000003,17.5
17,,,NBA,,2.0,0.0,17.5,2.0,6.0,0.33299999999999996,2.0,4.5,0.444,0.0,1.5,0.0,0.5,0.0,0.0,,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0,14.0,2.0,16.0
