,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,UTA,NBA,C,48.0,7.0,11.8,2.0,3.9,0.508,0.0,0.0,,2.0,3.9,0.508,0.508,0.8,1.1,0.706,1.0,1.8,2.9,0.4,0.3,0.6,0.5,1.5,4.7,6.0,2.7,8.7
1,20.0,UTA,NBA,C,36.0,0.0,4.8,0.6,1.3,0.46799999999999997,0.0,0.0,,0.6,1.3,0.46799999999999997,0.46799999999999997,0.3,0.4,0.6,0.4,0.8,1.3,0.2,0.1,0.1,0.4,0.7,1.5,1.9,1.0,2.9
2,21.0,TOT,NBA,C,50.0,2.0,8.7,1.4,3.0,0.45299999999999996,0.0,0.0,0.0,1.4,3.0,0.45899999999999996,0.45299999999999996,0.5,0.9,0.5579999999999999,1.1,1.5,2.6,0.1,0.2,0.5,0.6,1.2,3.2,3.9,2.2,6.1
3,21.0,MIN,NBA,C,39.0,1.0,8.6,1.2,2.8,0.435,0.0,0.1,0.0,1.2,2.7,0.44299999999999995,0.435,0.3,0.6,0.5,1.1,1.4,2.5,0.2,0.2,0.5,0.6,1.3,2.7,3.6,2.0999999999999996,5.699999999999999
4,21.0,DEN,NBA,C,11.0,1.0,8.9,1.9,3.8,0.5,0.0,0.0,,1.9,3.8,0.5,0.5,1.1,1.7,0.632,1.4,1.6,3.0,0.0,0.2,0.5,0.5,0.8,4.9,5.800000000000001,2.3,8.100000000000001
5,22.0,DEN,NBA,C,48.0,24.0,16.5,2.4,4.0,0.599,0.0,0.0,,2.4,4.0,0.599,0.599,0.7,1.1,0.6,2.0,3.4,5.4,0.3,0.5,0.9,0.7,2.0,5.5,7.3999999999999995,4.8,12.2
6,23.0,DEN,NBA,C,81.0,81.0,22.4,3.6,6.3,0.581,0.0,0.0,0.0,3.6,6.3,0.5820000000000001,0.581,0.7,1.3,0.5579999999999999,2.6,4.3,6.9,0.4,0.5,1.3,0.7,3.0,8.0,10.700000000000001,6.1,16.8
7,24.0,MEM,NBA,C,80.0,22.0,16.9,2.8,5.7,0.495,0.0,0.0,,2.8,5.7,0.495,0.495,0.8,1.2,0.645,2.0,3.2,5.2,0.5,0.4,0.9,0.8,2.3,6.4,8.6,4.5,13.1
8,25.0,MEM,NBA,C,81.0,3.0,16.6,2.2,4.4,0.508,0.0,0.0,,2.2,4.4,0.508,0.508,0.7,1.0,0.647,1.5,3.8,5.3,0.5,0.4,0.8,0.9,1.8,5.2,6.8,5.0,11.8
9,26.0,SAC,NBA,C,78.0,14.0,19.0,3.0,5.7,0.532,0.0,0.0,,3.0,5.7,0.532,0.532,0.7,1.3,0.5479999999999999,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8,9.200000000000001,4.7,13.900000000000002
10,27.0,SAC,NBA,C,71.0,62.0,20.0,3.0,5.5,0.551,0.0,0.0,0.0,3.0,5.5,0.552,0.551,0.5,0.9,0.613,1.7,4.0,5.7,0.7,0.5,0.7,0.9,2.4,6.6,8.799999999999999,5.2,14.0
11,,,NBA,,573.0,215.0,16.4,2.5,4.8,0.532,0.0,0.0,0.0,2.5,4.8,0.5329999999999999,0.532,0.6,1.1,0.605,1.7,3.2,4.9,0.4,0.4,0.8,0.7,2.1,5.7,7.499999999999999,4.4,11.899999999999999
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,MEM,NBA,,161.0,25.0,16.8,2.5,5.1,0.501,0.0,0.0,,2.5,5.1,0.501,0.501,0.7,1.1,0.6459999999999999,1.7,3.5,5.2,0.5,0.4,0.8,0.8,2.0,5.8,7.7,4.7,12.4
14,,SAC,NBA,,149.0,76.0,19.5,3.0,5.6,0.541,0.0,0.0,0.0,3.0,5.6,0.541,0.541,0.6,1.1,0.5720000000000001,1.9,3.6,5.5,0.5,0.5,0.8,0.7,2.4,6.7,8.9,4.8999999999999995,13.8
15,,DEN,NBA,,140.0,106.0,19.3,3.1,5.3,0.581,0.0,0.0,0.0,3.1,5.3,0.5820000000000001,0.581,0.7,1.3,0.579,2.3,3.8,6.1,0.3,0.5,1.1,0.7,2.5,6.9,9.100000000000001,5.4,14.500000000000002
16,,UTA,NBA,,84.0,7.0,8.8,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,0.5,0.5,0.8,0.682,0.8,1.4,2.2,0.3,0.2,0.4,0.5,1.1,3.3,4.199999999999999,2.0,6.199999999999999
17,,MIN,NBA,,39.0,1.0,8.6,1.2,2.8,0.435,0.0,0.1,0.0,1.2,2.7,0.44299999999999995,0.435,0.3,0.6,0.5,1.1,1.4,2.5,0.2,0.2,0.5,0.6,1.3,2.7,3.6,2.0999999999999996,5.699999999999999
