,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,LAC,NBA,SF,38.0,9.0,19.1,1.7,3.6,0.457,0.1,0.3,0.154,1.6,3.3,0.488,0.46399999999999997,1.1,1.6,0.705,1.4,2.6,4.0,1.3,0.7,0.1,1.2,2.0,4.5,7.3,3.4,10.7
1,24.0,SAC,NBA,SF,43.0,9.0,16.6,1.4,3.5,0.41100000000000003,0.1,0.5,0.22699999999999998,1.3,3.0,0.442,0.42700000000000005,0.8,1.3,0.603,1.1,2.0,3.1,1.3,0.7,0.2,1.0,1.9,3.8,6.5,2.9000000000000004,9.4
2,25.0,TOT,NBA,PF-SF,56.0,5.0,11.3,1.3,2.5,0.5,0.1,0.3,0.2,1.2,2.2,0.536,0.511,0.6,0.8,0.6809999999999999,0.9,1.3,2.2,0.5,0.4,0.1,0.5,1.8,3.1,4.5,1.8000000000000003,6.300000000000001
3,25.0,NYK,NBA,SF,6.0,5.0,15.5,1.8,5.0,0.36700000000000005,0.2,0.7,0.25,1.7,4.3,0.385,0.38299999999999995,0.5,0.7,0.75,1.2,2.8,4.0,1.0,0.7,0.0,1.0,1.3,4.3,6.5,3.5,10.0
4,25.0,PHI,NBA,PF,50.0,0.0,10.8,1.2,2.2,0.536,0.0,0.2,0.182,1.1,2.0,0.5760000000000001,0.545,0.6,0.9,0.674,0.8,1.1,1.9,0.4,0.3,0.1,0.5,1.8,3.0,4.1,1.5000000000000002,5.6
5,26.0,GSW,NBA,PF,76.0,23.0,23.9,3.6,8.3,0.43799999999999994,1.4,3.8,0.366,2.2,4.4,0.5,0.522,1.2,1.6,0.732,1.2,3.4,4.6,2.1,1.0,0.5,1.4,2.5,9.8,13.8,4.9,18.700000000000003
6,27.0,GSW,NBA,PF,73.0,18.0,19.4,2.6,6.1,0.423,0.7,2.5,0.293,1.8,3.6,0.513,0.483,0.8,1.1,0.747,1.3,3.2,4.4,1.9,0.7,0.5,1.2,2.2,6.7,10.600000000000001,4.4,15.000000000000002
7,28.0,PHO,NBA,PF,77.0,40.0,27.0,3.7,8.8,0.423,1.5,4.4,0.34299999999999997,2.2,4.3,0.505,0.51,1.3,1.8,0.743,1.0,4.4,5.5,2.8,0.7,0.3,1.7,2.7,10.2,15.099999999999998,5.4,20.5
8,29.0,ORL,NBA,SF,81.0,58.0,25.9,3.3,6.9,0.48700000000000004,0.8,2.6,0.319,2.5,4.3,0.586,0.546,1.3,1.8,0.74,1.3,4.2,5.5,1.7,0.7,0.4,1.4,2.3,8.8,12.1,5.300000000000001,17.4
9,30.0,LAL,NBA,SF,53.0,0.0,19.2,2.5,5.3,0.47,0.6,2.0,0.318,1.8,3.2,0.564,0.53,1.1,1.5,0.779,1.4,2.9,4.3,1.3,0.7,0.4,1.1,2.4,6.7,9.6,3.9999999999999996,13.6
10,31.0,LAL,NBA,SF,63.0,16.0,22.9,2.8,6.1,0.452,0.7,2.2,0.33299999999999996,2.0,4.0,0.518,0.512,1.5,2.0,0.742,1.5,3.9,5.5,2.0,0.6,0.8,1.2,2.4,7.8,12.100000000000001,5.3,17.400000000000002
11,32.0,LAC,NBA,SF,80.0,4.0,25.7,3.9,8.4,0.462,1.4,4.1,0.342,2.5,4.4,0.574,0.544,1.1,1.5,0.7440000000000001,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3,13.600000000000001,5.0,18.6
12,33.0,LAC,NBA,SF,63.0,40.0,27.5,3.7,8.4,0.43799999999999994,1.5,4.5,0.34299999999999997,2.1,3.9,0.5489999999999999,0.53,1.0,1.4,0.733,1.0,3.7,4.6,2.0,0.9,0.4,1.3,2.9,9.9,13.6,5.000000000000001,18.6
13,34.0,LAC,NBA,SF,76.0,74.0,29.9,3.6,8.2,0.444,1.8,4.9,0.36200000000000004,1.9,3.3,0.569,0.5529999999999999,1.0,1.3,0.779,0.7,3.3,4.0,1.5,0.9,0.7,1.1,3.2,10.1,12.700000000000001,4.9,17.6
14,35.0,MEM,NBA,SF,76.0,45.0,28.8,3.5,9.1,0.381,1.6,4.9,0.322,1.9,4.3,0.449,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1.0,0.8,1.6,3.1,10.0,13.700000000000001,6.2,19.900000000000002
