,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,CHI,NBA,PF,82.0,,34.0,6.1,12.8,0.474,0.0,0.1,0.14300000000000002,6.1,12.7,0.47600000000000003,0.474,4.1,5.1,0.81,2.7,6.7,9.4,2.2,0.7,1.6,2.6,3.8,16.3,20.8,9.0,29.8
1,23.0,CHI,NBA,PF,82.0,,33.0,5.9,12.1,0.486,0.0,0.0,0.0,5.9,12.0,0.48700000000000004,0.486,2.6,3.5,0.748,3.0,5.9,8.8,2.7,0.9,1.5,2.3,3.4,14.4,20.5,8.3,28.8
2,24.0,CHI,NBA,PF,82.0,82.0,35.5,5.9,12.4,0.473,0.0,0.0,0.0,5.9,12.3,0.475,0.473,2.9,3.5,0.825,2.3,7.2,9.6,3.2,0.9,1.1,2.2,3.6,14.6,21.099999999999998,9.2,30.299999999999997
3,25.0,CHI,NBA,PF,79.0,61.0,29.8,3.9,8.7,0.455,0.0,0.1,0.0,3.9,8.6,0.457,0.455,2.1,2.9,0.708,2.7,6.9,9.7,1.9,0.7,1.1,1.9,3.3,10.0,14.6,8.700000000000001,23.3
4,26.0,CHI,NBA,PF,78.0,76.0,34.8,4.7,9.7,0.49,0.0,0.0,0.0,4.7,9.6,0.491,0.49,2.7,3.7,0.737,2.7,7.3,10.1,1.8,0.9,0.9,1.9,3.4,12.2,16.6,9.1,25.700000000000003
5,27.0,CHI,NBA,PF,61.0,28.0,25.0,2.5,5.4,0.45799999999999996,0.0,0.0,0.0,2.5,5.4,0.45899999999999996,0.45799999999999996,1.1,1.5,0.713,1.8,4.6,6.4,1.3,0.6,0.3,1.0,3.1,6.1,9.5,5.499999999999999,15.0
6,28.0,SAS,NBA,PF,68.0,24.0,28.1,2.9,5.7,0.51,0.0,0.0,0.0,2.9,5.7,0.512,0.51,2.1,2.7,0.772,2.2,5.6,7.8,1.3,0.5,0.8,1.7,3.0,7.9,11.000000000000002,6.8999999999999995,17.900000000000002
7,29.0,SAS,NBA,PF,79.0,78.0,32.7,4.3,8.3,0.513,0.0,0.1,0.5,4.2,8.2,0.513,0.515,3.1,3.9,0.785,3.2,6.7,9.9,3.0,0.9,0.6,2.0,3.1,11.6,18.799999999999997,8.200000000000001,27.0
8,30.0,SAS,NBA,PF,45.0,40.0,27.5,3.4,7.3,0.46,0.0,0.0,0.0,3.4,7.2,0.46299999999999997,0.46,1.8,2.5,0.748,2.0,4.6,6.7,2.2,0.7,0.5,1.6,3.0,8.6,13.4,5.8,19.2
9,31.0,TOT,NBA,PF,67.0,18.0,20.9,2.5,5.9,0.423,0.0,0.0,,2.5,5.9,0.423,0.423,2.0,2.6,0.75,2.1,3.9,6.0,1.4,0.7,0.8,1.4,3.0,7.0,10.5,5.3999999999999995,15.899999999999999
10,31.0,SAS,NBA,PF,38.0,15.0,24.0,2.8,6.5,0.425,0.0,0.0,,2.8,6.5,0.425,0.425,2.2,2.8,0.8,2.4,3.8,6.3,1.4,0.8,0.6,1.4,3.2,7.7,11.499999999999998,5.199999999999999,16.699999999999996
11,31.0,DEN,NBA,PF,29.0,3.0,16.9,2.1,5.1,0.419,0.0,0.0,,2.1,5.1,0.419,0.419,1.7,2.4,0.6759999999999999,1.7,4.0,5.7,1.4,0.6,1.0,1.2,2.7,5.9,9.200000000000001,5.6,14.8
12,32.0,DET,NBA,PF,37.0,0.0,5.5,0.6,1.4,0.423,0.0,0.0,,0.6,1.4,0.423,0.423,0.4,0.8,0.552,0.6,1.5,2.1,0.3,0.1,0.2,0.4,1.1,1.6,2.4,1.8,4.2
13,33.0,SAS,NBA,PF,63.0,11.0,16.2,1.3,2.7,0.503,0.0,0.0,0.0,1.3,2.7,0.509,0.503,1.1,1.5,0.7340000000000001,1.0,2.5,3.5,0.8,0.5,0.4,1.1,2.7,3.8,5.300000000000001,3.4,8.700000000000001
14,,,NBA,,823.0,418.0,28.4,4.0,8.3,0.47700000000000004,0.0,0.0,0.138,3.9,8.2,0.479,0.478,2.3,3.1,0.765,2.3,5.6,7.9,2.0,0.7,0.9,1.8,3.2,10.2,14.7,7.2,21.9
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,CHI,NBA,,464.0,247.0,32.4,4.9,10.4,0.475,0.0,0.0,0.055999999999999994,4.9,10.4,0.47700000000000004,0.475,2.7,3.5,0.768,2.6,6.5,9.1,2.2,0.8,1.1,2.0,3.5,12.6,17.6,8.4,26.0
17,,SAS,NBA,,293.0,168.0,26.2,3.0,6.1,0.49,0.0,0.0,0.273,3.0,6.1,0.491,0.49,2.1,2.7,0.773,2.2,4.8,7.1,1.8,0.7,0.6,1.6,3.0,8.1,12.3,6.1,18.4
18,,DET,NBA,,37.0,0.0,5.5,0.6,1.4,0.423,0.0,0.0,,0.6,1.4,0.423,0.423,0.4,0.8,0.552,0.6,1.5,2.1,0.3,0.1,0.2,0.4,1.1,1.6,2.4,1.8,4.2
19,,DEN,NBA,,29.0,3.0,16.9,2.1,5.1,0.419,0.0,0.0,,2.1,5.1,0.419,0.419,1.7,2.4,0.6759999999999999,1.7,4.0,5.7,1.4,0.6,1.0,1.2,2.7,5.9,9.200000000000001,5.6,14.8
