,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,UTA,NBA,PF,82.0,1.0,18.0,2.5,4.9,0.525,0.0,0.0,0.33299999999999996,2.5,4.8,0.527,0.526,1.7,2.5,0.6729999999999999,2.2,2.9,5.2,0.8,0.8,0.9,1.1,2.9,6.8,9.5,4.6000000000000005,14.100000000000001
1,22.0,UTA,NBA,PF,82.0,2.0,20.8,3.1,6.1,0.504,0.0,0.0,0.0,3.1,6.1,0.508,0.504,1.9,2.8,0.677,2.0,3.6,5.6,1.0,0.9,0.9,1.1,3.3,8.1,11.0,5.4,16.4
2,23.0,UTA,NBA,PF,76.0,38.0,30.1,5.3,9.9,0.534,0.0,0.1,0.0,5.3,9.8,0.537,0.534,3.0,4.3,0.6990000000000001,3.3,5.3,8.6,1.8,1.0,1.0,1.7,3.8,13.5,18.7,7.3,26.0
3,24.0,UTA,NBA,PF,82.0,8.0,27.8,4.7,8.7,0.5379999999999999,0.0,0.1,0.111,4.7,8.6,0.5429999999999999,0.5379999999999999,2.2,3.2,0.693,2.3,4.5,6.8,1.6,0.8,1.2,1.4,3.5,11.6,15.700000000000001,6.5,22.200000000000003
4,25.0,UTA,NBA,PF,76.0,76.0,34.3,6.9,13.0,0.531,0.1,0.3,0.391,6.8,12.7,0.535,0.536,3.4,4.4,0.757,2.2,5.5,7.6,2.5,1.4,0.9,1.9,3.6,17.3,22.6,7.800000000000001,30.400000000000002
5,26.0,UTA,NBA,PF,64.0,62.0,32.8,6.7,13.5,0.495,0.1,0.5,0.226,6.5,13.0,0.505,0.499,3.2,4.0,0.792,2.8,6.0,8.8,2.3,1.8,0.8,1.8,3.5,16.6,22.2,8.6,30.799999999999997
6,27.0,UTA,NBA,PF,78.0,78.0,30.4,5.5,11.2,0.49,0.2,0.5,0.33299999999999996,5.3,10.7,0.498,0.498,3.4,4.6,0.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,3.0,14.6,20.3,7.1,27.4
7,28.0,ATL,NBA,PF,74.0,73.0,33.5,6.5,14.1,0.461,1.0,2.9,0.358,5.5,11.3,0.48700000000000004,0.498,3.9,5.3,0.731,2.1,6.4,8.5,3.1,1.7,1.1,2.5,2.8,17.9,23.7,9.2,32.9
8,29.0,ATL,NBA,PF,73.0,73.0,32.7,6.1,12.7,0.47600000000000003,1.1,3.0,0.35600000000000004,5.0,9.8,0.513,0.518,3.5,4.6,0.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7,22.499999999999996,8.6,31.099999999999994
9,30.0,ATL,NBA,PF,81.0,81.0,32.7,6.2,13.2,0.47,0.9,2.9,0.319,5.3,10.3,0.512,0.505,3.8,5.0,0.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1,23.700000000000003,10.1,33.800000000000004
10,31.0,ATL,NBA,PF,69.0,67.0,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.48100000000000004,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,24.8,8.299999999999999,33.1
11,,,NBA,,837.0,559.0,29.5,5.4,10.9,0.493,0.4,1.2,0.32799999999999996,5.0,9.7,0.513,0.511,3.1,4.2,0.736,2.3,5.2,7.5,2.3,1.3,1.0,1.8,3.2,14.2,19.299999999999997,7.5,26.799999999999997
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,UTA,NBA,,540.0,265.0,27.4,4.9,9.4,0.516,0.1,0.2,0.27399999999999997,4.8,9.2,0.522,0.519,2.6,3.7,0.723,2.4,4.6,7.0,1.8,1.1,1.0,1.5,3.3,12.4,16.9,6.699999999999999,23.599999999999998
14,,ATL,NBA,,297.0,294.0,33.2,6.3,13.5,0.46299999999999997,1.0,3.0,0.335,5.2,10.5,0.499,0.5,3.9,5.2,0.753,2.0,6.3,8.3,3.3,1.7,1.2,2.4,2.8,17.4,23.6,9.2,32.8
