,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,MEM,NBA,C,82.0,79.0,36.7,6.7,13.0,0.518,0.0,0.1,0.2,6.7,12.9,0.519,0.518,4.1,5.8,0.7090000000000001,2.9,6.0,8.9,2.7,0.5,2.1,2.7,2.4,17.6,23.200000000000003,8.6,31.800000000000004
1,22.0,MEM,NBA,PF,82.0,82.0,36.0,6.9,13.6,0.51,0.0,0.1,0.1,6.9,13.5,0.514,0.51,5.1,6.9,0.736,2.3,6.4,8.8,2.8,0.4,1.8,2.6,2.7,19.0,24.299999999999997,8.600000000000001,32.9
2,23.0,MEM,NBA,PF,78.0,78.0,31.5,6.5,13.4,0.48200000000000004,0.1,0.2,0.267,6.4,13.3,0.485,0.484,4.7,6.6,0.7140000000000001,2.6,5.1,7.7,2.5,0.6,1.7,2.4,2.4,17.7,22.9,7.3999999999999995,30.299999999999997
3,24.0,MEM,NBA,PF,56.0,53.0,32.0,6.4,12.4,0.514,0.0,0.1,0.16699999999999998,6.4,12.3,0.517,0.514,5.0,6.6,0.768,2.3,5.0,7.3,2.4,0.7,1.7,2.4,2.6,17.8,22.5,7.4,29.9
4,25.0,MEM,NBA,PF,80.0,80.0,39.2,7.5,14.9,0.503,0.0,0.2,0.25,7.5,14.8,0.505,0.504,5.3,7.7,0.6890000000000001,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,29.1,9.0,38.1
5,26.0,MEM,NBA,C,59.0,59.0,36.2,7.8,14.5,0.5379999999999999,0.1,0.2,0.273,7.8,14.4,0.542,0.54,5.1,6.8,0.748,2.5,7.3,9.8,3.4,0.5,2.1,2.7,2.3,20.8,27.400000000000002,9.9,37.300000000000004
6,27.0,TOT,NBA,C,66.0,66.0,35.6,7.2,13.5,0.534,0.1,0.2,0.25,7.1,13.2,0.539,0.536,4.4,5.5,0.807,2.3,6.0,8.4,3.2,0.5,1.5,1.9,2.1,18.9,25.7,8.0,33.7
7,27.0,MEM,NBA,C,39.0,39.0,36.7,7.2,14.3,0.501,0.1,0.4,0.267,7.1,13.9,0.507,0.504,4.5,5.5,0.8190000000000001,2.4,6.4,8.8,3.0,0.4,1.4,2.1,2.2,18.9,25.199999999999996,8.200000000000001,33.4
8,27.0,LAL,NBA,C,27.0,27.0,34.0,7.3,12.3,0.589,0.0,0.0,0.0,7.3,12.3,0.59,0.589,4.3,5.4,0.789,2.3,5.6,7.8,3.5,0.5,1.6,1.6,2.0,18.8,26.5,7.699999999999999,34.2
9,28.0,LAL,NBA,C,81.0,81.0,37.0,7.3,12.9,0.5670000000000001,0.0,0.0,0.5,7.3,12.9,0.5670000000000001,0.5670000000000001,4.2,5.4,0.7809999999999999,3.2,6.4,9.6,3.5,0.6,1.0,1.9,2.1,18.9,27.2,8.0,35.2
10,29.0,LAL,NBA,C,65.0,65.0,37.0,7.0,13.0,0.536,0.0,0.1,0.0,7.0,12.9,0.539,0.536,4.4,5.6,0.79,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3,26.6,9.899999999999999,36.5
