,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,WAS,NBA,PG,64.0,0.0,12.2,1.4,3.4,0.4,0.2,0.7,0.28600000000000003,1.2,2.8,0.42700000000000005,0.42700000000000005,0.7,0.9,0.7120000000000001,0.2,1.3,1.4,2.0,0.4,0.0,0.8,0.8,3.6,7.000000000000001,1.7000000000000002,8.700000000000001
1,22.0,TOT,NBA,PG-SG,31.0,3.0,13.4,1.9,4.1,0.46,0.6,1.6,0.36700000000000005,1.3,2.5,0.519,0.532,0.3,0.5,0.563,0.1,1.2,1.3,2.2,0.5,0.0,1.1,1.3,4.6,8.0,1.7,9.7
2,22.0,WAS,NBA,PG,7.0,2.0,20.1,2.3,5.7,0.4,0.6,1.9,0.308,1.7,3.9,0.444,0.45,0.1,0.3,0.5,0.4,1.9,2.3,3.3,0.9,0.0,1.1,1.4,5.3,11.200000000000001,2.8,14.0
3,22.0,PHI,NBA,SG,4.0,0.0,1.8,0.3,0.5,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.5,0.6000000000000001,0.0,0.6000000000000001
4,22.0,ATL,NBA,PG,20.0,1.0,13.4,2.1,4.2,0.488,0.7,1.8,0.4,1.4,2.5,0.551,0.5710000000000001,0.4,0.7,0.5710000000000001,0.0,1.2,1.2,2.2,0.5,0.0,1.2,1.4,5.2,8.400000000000002,1.7,10.100000000000001
5,23.0,ATL,NBA,PG,73.0,11.0,20.4,2.9,6.9,0.41700000000000004,0.8,2.5,0.337,2.0,4.3,0.46399999999999997,0.479,0.9,1.0,0.865,0.3,1.9,2.2,3.7,0.7,0.0,1.2,1.4,7.5,14.0,2.5999999999999996,16.6
6,24.0,ATL,NBA,PG,55.0,0.0,15.1,2.1,5.3,0.401,0.7,2.3,0.315,1.4,3.0,0.467,0.469,0.5,0.6,0.8059999999999999,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4,10.2,1.8,12.0
7,25.0,TOT,NBA,PG,52.0,27.0,20.3,3.5,8.0,0.439,0.8,2.4,0.312,2.8,5.6,0.493,0.486,0.9,1.2,0.738,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,8.6,14.3,3.0000000000000004,17.3
8,25.0,ATL,NBA,PG,24.0,0.0,7.5,1.7,4.0,0.42100000000000004,0.2,1.1,0.14800000000000002,1.5,2.8,0.529,0.442,0.4,0.5,0.75,0.1,0.8,0.9,1.6,0.3,0.0,0.6,0.3,3.9,6.6000000000000005,1.1,7.700000000000001
9,25.0,UTA,NBA,PG,28.0,27.0,31.4,5.1,11.4,0.444,1.3,3.5,0.35700000000000004,3.8,7.9,0.48200000000000004,0.498,1.3,1.8,0.735,0.4,3.4,3.8,5.3,0.9,0.1,2.9,2.3,12.7,20.8,4.3999999999999995,25.2
10,26.0,UTA,NBA,PG,55.0,9.0,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,12.200000000000001,2.8000000000000003,15.000000000000002
11,,,NBA,,330.0,50.0,17.5,2.5,5.9,0.426,0.6,2.0,0.321,1.9,3.9,0.478,0.48,0.7,1.0,0.748,0.2,1.7,1.9,2.9,0.6,0.0,1.2,1.2,6.3,11.100000000000001,2.3,13.400000000000002
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,ATL,NBA,,172.0,12.0,16.1,2.4,5.7,0.419,0.7,2.2,0.322,1.7,3.5,0.479,0.48,0.6,0.8,0.809,0.2,1.5,1.7,3.0,0.6,0.0,1.0,1.0,6.0,11.2,2.1,13.299999999999999
14,,UTA,NBA,,83.0,36.0,25.1,3.8,8.4,0.445,0.9,2.6,0.33,2.9,5.8,0.49700000000000005,0.496,1.1,1.5,0.706,0.4,2.4,2.8,3.7,0.8,0.1,2.1,2.0,9.5,15.200000000000001,3.3000000000000003,18.5
15,,WAS,NBA,,71.0,2.0,13.0,1.5,3.7,0.4,0.2,0.8,0.29100000000000004,1.2,2.9,0.429,0.431,0.6,0.9,0.705,0.2,1.3,1.5,2.2,0.5,0.0,0.8,0.8,3.8,7.6000000000000005,1.8,9.4
16,,PHI,NBA,,4.0,0.0,1.8,0.3,0.5,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.5,0.6000000000000001,0.0,0.6000000000000001
